"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:07,0","5:07,0","1,00","5:07","5:23","127","139","1","31","341","4.25","425","5.30","173","241","52,0% L / 48,0% P","1,13","9,8","8,5","67","23,0","4:22","191","5:07,0","5:07","--","--"
"2","5:17,8","10:25","1,00","5:18","5:28","130","135","0","17","341","4.25","389","4.85","173","247","52,2% L / 47,8% P","1,09","9,6","8,6","72","19,0","5:07","175","5:17","5:17","--","--"
"3","5:25,0","15:50","1,00","5:25","5:31","131","136","0","11","345","4.30","399","4.98","172","253","51,8% L / 48,2% P","1,08","9,6","8,7","73","17,0","5:01","175","5:25,0","5:25","--","--"
"4","6:09,8","22:00","1,00","6:10","5:59","131","135","11","0","344","4.29","378","4.71","171","274","50,4% L / 49,6% P","0,95","9,1","9,3","79","15,0","5:39","173","6:09,8","6:10","--","--"
"5","5:40,5","27:40","1,00","5:40","5:50","128","132","1","14","330","4.11","350","4.36","172","263","51,4% L / 48,6% P","1,02","9,4","9,0","71","14,0","5:33","177","5:40,5","5:41","--","--"
"6","6:06,4","33:47","1,00","6:06","5:59","131","135","10","1","343","4.28","416","5.19","171","271","50,4% L / 49,6% P","0,96","9,2","9,4","77","12,0","5:20","175","6:06","6:06","--","--"
"7","6:20,6","40:07","1,00","6:21","6:06","130","136","18","0","347","4.33","375","4.68","171","276","50,2% L / 49,8% P","0,93","8,9","9,4","78","11,0","6:07","174","6:20,6","6:21","--","--"
"8","6:42,8","46:50","1,00","6:43","6:11","132","136","32","0","352","4.39","428","5.34","170","281","50,3% L / 49,7% P","0,88","8,7","9,7","81","10,0","6:07","173","6:42","6:42","--","--"
"9","0:00,7","46:51","0,00","3:50","7:44","132","132","0","1","326","4.06","326","4.06","165","264","51,0% L / 49,0% P","0,87","10,9","11,7","0","10,0","7:51","165","0:00,7","3:51","--","--"
"Podsumowanie","46:51","46:51","8,00","5:51","5:49","130","139","74","76","343","4.28","428","5.34","172","264","51,0% L / 49,0% P","1,00","9,2","9,1","599","14,8","4:22","191","46:49","5:51","--","--"
