"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:01,5","5:01,5","1,00","5:01","5:02","132","144","3","3","393","4.92","424","5.31","170","243","50,5% L / 49,5% P","1,17","10,4","8,8","71","20,0","4:54","173","5:01,5","5:02","--","--"
"2","4:55,7","9:57,3","1,00","4:56","4:51","142","145","5","0","405","5.08","483","6.05","171","245","50,3% L / 49,7% P","1,19","10,3","8,4","75","17,0","4:48","174","4:55,7","4:56","--","--"
"3","4:59,2","14:56","1,00","4:59","4:59","143","147","3","5","392","4.91","431","5.40","171","245","50,0% L / 50,0% P","1,17","10,3","8,5","74","15,0","4:44","175","4:59","4:59","--","--"
"4","4:56,5","19:53","1,00","4:56","5:02","143","147","0","6","381","4.77","407","5.10","171","246","49,9% L / 50,1% P","1,18","10,4","8,5","72","14,0","4:54","174","4:56,5","4:56","--","--"
"5","4:59,5","24:52","1,00","4:59","5:00","146","152","1","4","389","4.87","418","5.24","171","246","50,2% L / 49,8% P","1,17","10,3","8,6","74","13,0","4:51","175","4:59","4:59","--","--"
"6","5:02,8","29:55","1,00","5:03","4:58","150","153","7","0","404","5.06","468","5.86","171","246","50,2% L / 49,8% P","1,16","10,3","8,7","77","12,0","4:53","173","5:02,8","5:03","--","--"
"7","5:10,5","35:06","1,00","5:10","5:07","150","156","7","0","393","4.92","461","5.78","171","249","50,3% L / 49,7% P","1,13","10,2","8,8","79","12,0","4:54","184","5:10,5","5:11","--","--"
"8","5:03,4","40:09","1,00","5:03","5:06","145","150","0","8","379","4.75","416","5.21","171","248","50,3% L / 49,7% P","1,16","10,3","8,7","73","12,0","4:43","173","5:03","5:03","--","--"
"9","5:01,1","45:10","1,00","5:01","5:06","144","148","0","6","379","4.75","405","5.08","170","245","51,1% L / 48,9% P","1,17","10,4","8,7","71","12,0","4:44","174","5:01","5:01","--","--"
"10","5:03,6","50:14","1,00","5:04","5:02","149","156","7","1","400","5.01","428","5.36","171","248","50,4% L / 49,6% P","1,15","10,2","8,6","76","13,0","4:54","174","5:03,6","5:04","--","--"
"11","5:03,4","55:17","1,00","5:03","4:58","150","153","7","0","403","5.05","434","5.44","172","248","50,3% L / 49,8% P","1,15","10,1","8,6","76","13,0","4:56","174","5:03","5:03","--","--"
"12","5:07,0","1:00:24","1,00","5:07","5:08","147","151","2","5","382","4.79","433","5.43","172","248","50,0% L / 50,0% P","1,14","10,1","8,6","73","13,0","4:37","175","5:07,0","5:07","--","--"
"13","4:57,9","1:05:22","1,00","4:58","5:03","145","149","0","7","380","4.76","398","4.99","172","247","50,3% L / 49,7% P","1,16","10,1","8,5","69","13,0","4:52","174","4:57,9","4:58","--","--"
"14","5:00,6","1:10:23","1,00","5:01","5:00","146","152","3","3","392","4.91","422","5.29","172","247","50,6% L / 49,4% P","1,16","10,2","8,5","71","13,0","4:50","173","5:00,6","5:01","--","--"
"15","4:57,6","1:15:20","1,00","4:58","4:55","151","154","2","3","398","4.99","449","5.63","171","245","50,4% L / 49,6% P","1,18","10,3","8,5","74","12,0","4:31","174","4:57","4:57","--","--"
"16","0:00,6","1:15:21","0,00","2:36","5:05","149","149","0","0","375","4.70","375","4.70","170","238","51,0% L / 49,0% P","1,19","10,5","8,6","0","12,0","5:01","170","0:00,6","2:36","--","--"
"Podsumowanie","1:15:21","1:15:21","15,00","5:01","5:01","146","156","48","50","391","4.90","483","6.05","171","247","50,3% L / 49,7% P","1,16","10,3","8,6","1.108","13,6","4:31","184","1:15:19","5:01","--","--"
