"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","11:30","11:30","2,25","5:07","5:21","136","144","1","54","171","245","52,0% L / 48,0% P","1,14","9,9","8,5","345","344","4.32","440","5.52","161","17,0","4:31","184","11:28","5:06"
"","1","Bieg","4","2:00,3","13:30","0,50","4:01","4:13","157","164","0","6","184","215","51,0% L / 49,0% P","1,34","9,0","6,6","415","421","5.29","498","6.25","33","13,0","3:49","189","2:00","4:00"
"","","Regeneracja","5","1:30","15:00","0,21","7:04","6:15","145","164","0","2","160","302","49,9% L / 50,1% P","0,99","9,4","9,3","344","308","3.87","466","5.85","20","12,0","4:04","183","1:28","6:54"
"","2","Bieg","6","1:58,4","16:58","0,50","3:57","4:05","160","170","5","0","187","212","50,6% L / 49,4% P","1,31","8,6","6,5","446","460","5.78","530","6.66","34","12,0","3:39","192","1:58","3:56"
"","","Regeneracja","7","1:30","18:28","0,19","7:54","7:13","152","170","4","0","159","315","50,1% L / 49,9% P","0,83","8,9","10,6","343","285","3.58","509","6.39","22","12,0","4:00","185","1:28","7:44"
"","3","Bieg","8","1:59,2","20:28","0,50","3:58","4:11","156","165","0","6","184","216","51,0% L / 49,0% P","1,34","9,0","6,7","420","430","5.40","519","6.52","32","11,0","3:38","186","1:59","3:58"
"","","Regeneracja","9","1:30","21:58","0,21","7:13","6:48","147","165","0","1","161","302","50,1% L / 49,9% P","0,90","9,3","10,1","325","285","3.58","491","6.17","20","11,0","3:50","185","1:28","7:04"
"","4","Bieg","10","1:57,3","23:55","0,50","3:55","4:09","161","171","4","1","187","214","50,7% L / 49,3% P","1,31","8,6","6,6","452","459","5.76","514","6.45","33","11,0","3:51","190","1:57,3","3:55"
"","","Regeneracja","11","1:30","25:25","0,20","7:36","6:46","154","171","2","0","161","309","50,1% L / 49,9% P","0,90","8,8","9,6","356","294","3.69","515","6.47","22","11,0","3:58","183","1:28","7:26"
"","5","Bieg","12","1:59,3","27:24","0,50","3:59","4:14","158","167","0","5","183","216","50,8% L / 49,3% P","1,32","9,1","6,9","417","428","5.37","504","6.33","32","10,0","3:50","189","1:59","3:58"
"","","Regeneracja","13","1:30","28:54","0,20","7:23","6:51","149","167","0","2","161","308","49,9% L / 50,1% P","0,89","8,9","9,7","320","279","3.50","476","5.98","20","10,0","3:58","186","1:28","7:13"
"","6","Bieg","14","2:00,3","30:54","0,50","4:01","4:03","160","169","5","0","185","219","50,7% L / 49,3% P","1,30","8,6","6,7","458","469","5.89","510","6.40","34","10,0","3:48","188","2:00","4:00"
"","","Regeneracja","15","1:30","32:24","0,19","7:48","7:02","156","170","2","0","161","314","49,9% L / 50,1% P","0,86","8,4","9,6","340","280","3.52","497","6.24","22","10,0","4:04","185","1:28","7:37"
"","7","Bieg","16","1:59,9","34:24","0,50","4:00","4:10","159","167","0","4","183","218","50,8% L / 49,3% P","1,34","8,9","6,6","417","430","5.40","514","6.45","33","10,0","3:40","186","1:59,9","4:00"
"","","Regeneracja","17","1:30","35:54","0,19","7:49","6:48","149","167","0","1","159","319","50,2% L / 49,8% P","0,96","8,6","8,9","323","275","3.45","463","5.81","19","10,0","4:01","180","1:28","7:39"
"","8","Bieg","18","1:58,8","37:53","0,50","3:58","4:04","161","173","4","0","186","216","50,8% L / 49,2% P","1,30","8,6","6,6","455","469","5.89","517","6.49","34","10,0","3:56","190","1:58,8","3:58"
"","","Regeneracja","19","1:30","39:23","0,18","8:25","7:55","155","172","2","0","158","328","49,9% L / 50,1% P","0,78","7,9","10,1","324","250","3.14","520","6.53","21","10,0","3:56","186","1:28","8:13"
"","9","Bieg","20","1:56,8","41:20","0,50","3:54","4:05","160","169","0","4","185","214","50,7% L / 49,3% P","1,33","8,7","6,6","425","438","5.50","527","6.62","33","10,0","3:37","188","1:56,8","3:54"
"","","Regeneracja","21","1:30","42:50","0,19","7:44","7:14","150","169","0","2","159","315","50,0% L / 50,0% P","0,85","8,8","10,3","316","266","3.34","474","5.95","19","9,0","3:55","181","1:28","7:34"
