"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","12:32","12:32","2,49","5:01","4:59","138","145","7","2","172","248","49,6% L / 50,4% P","1,16","9,9","8,4","388","386","4.92","451","5.75","179","13,0","4:46","179","12:27","5:00"
"","1","Bieg","4 - 5","5:53,9","18:26","1,50","3:56","3:58","159","163","1","7","186","210","49,9% L / 50,1% P","1,37","8,9","6,3","448","450","5.74","543","6.93","99","10,0","3:30","189","5:53,9","3:56"
"","","Regeneracja","6","2:00","20:26","0,26","7:33","6:42","139","164","0","0","158","315","50,1% L / 49,9% P","0,93","8,9","9,4","338","287","3.66","494","6.30","23","10,0","3:59","184","1:58","7:25"
"","2","Bieg","7 - 8","6:01,2","26:27","1,50","4:01","4:04","160","167","4","0","185","213","50,0% L / 50,0% P","1,33","8,9","6,6","444","448","5.72","523","6.67","101","9,0","3:49","191","6:01","4:01"
"","","Regeneracja","9","2:00","28:27","0,25","7:53","6:39","142","166","1","0","158","320","49,9% L / 50,1% P","0,93","8,2","8,8","342","280","3.57","507","6.47","24","9,0","3:57","186","1:58","7:45"
"","3","Bieg","10 - 11","5:55,7","34:23","1,50","3:57","4:03","159","165","1","7","186","217","50,5% L / 49,5% P","1,34","8,7","6,4","442","447","5.70","505","6.44","99","8,0","3:42","190","5:55,7","3:57"
"","","Regeneracja","12","2:00","36:23","0,24","8:18","7:41","141","165","0","0","156","329","50,0% L / 50,0% P","0,83","7,8","9,4","309","239","3.05","506","6.46","23","8,0","3:59","188","1:58","8:10"
"","4","Bieg","13 - 14","6:01,0","42:24","1,50","4:01","4:01","160","168","7","1","187","219","50,1% L / 49,9% P","1,32","8,6","6,3","450","454","5.79","522","6.66","101","8,0","3:44","191","6:01","4:01"
"","","Regeneracja","15","2:00","44:24","0,25","7:59","6:59","142","166","1","0","157","329","50,0% L / 50,0% P","0,91","7,9","8,6","325","263","3.36","501","6.39","22","8,0","4:04","186","1:58","7:51"
"","5","Bieg","16 - 17","5:59,2","50:23","1,50","3:59","4:06","159","166","0","6","188","220","50,3% L / 49,7% P","1,31","8,5","6,4","437","442","5.64","505","6.44","99","7,0","3:46","191","5:59","3:59"
"","","Regeneracja","18","2:00","52:23","0,24","8:17","7:41","140","166","0","0","155","332","49,7% L / 50,3% P","0,84","7,6","9,0","307","238","3.04","517","6.60","21","7,0","4:02","188","1:58","8:08"
"","6","Bieg","19 - 20","6:01,3","58:24","1,50","4:01","4:02","160","167","5","0","188","222","50,1% L / 49,9% P","1,32","8,5","6,3","450","455","5.81","521","6.65","101","7,0","3:49","192","6:01","4:01"
"","","Regeneracja","21","2:00","1:00:24","0,23","8:35","8:09","140","167","1","0","154","336","49,4% L / 50,6% P","0,78","7,6","9,5","298","227","2.90","481","6.14","20","7,0","4:04","189","1:58","8:27"
"","7","Bieg","22 - 23","5:55,3","1:06:19","1,50","3:57","4:03","158","168","1","9","186","222","50,3% L / 49,7% P","1,34","8,7","6,3","448","452","5.77","516","6.58","99","7,0","3:45","190","5:55,3","3:57"
"","","Regeneracja","24","2:00","1:08:19","0,23","8:47","8:25","139","165","1","0","153","339","49,8% L / 50,2% P","0,79","7,5","9,4","286","216","2.76","485","6.19","19","7,0","3:53","183","1:58","8:38"
"","8","Bieg","25 - 26","5:54,2","1:14:14","1,50","3:56","3:57","162","170","4","2","189","219","50,2% L / 49,8% P","1,33","8,4","6,2","464","468","5.97","530","6.76","100","6,0","3:43","192","5:54","3:56"
"","","Regeneracja","27","2:00","1:16:14","0,31","6:22","6:25","146","167","0","1","163","298","49,9% L / 50,1% P","0,99","9,0","9,0","335","299","3.81","515","6.57","25","6,0","3:44","188","1:58","6:16"
"","","Schładzanie","28","5:12,0","1:21:26","0,99","5:16","5:15","138","141","1","4","170","270","50,0% L / 50,0% P","1,12","9,7","8,5","364","366","4.67","390","4.98","75","7,0","5:02","174","5:12,0","5:16"
"","Podsumowanie","--","--","1:21:26","1:21:26","17,51","4:39","4:38","151","170","37","39","178","246","50,0% L / 50,0% P","1,20","8,8","7,3","417","398","5.08","543","6.93","1.233","8,5","3:30","192","1:21:13","4:38"
