"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:23,4","5:23,4","1,00","5:23","5:20","134","145","16","20","380","4.74","594","7.41","173","245","50,6% L / 49,4% P","1,08","9,8","8,9","78","20,0","4:37","178","5:23,4","5:23","--","--"
"2","5:41,8","11:05","1,00","5:42","5:35","143","146","19","3","379","4.73","488","6.09","173","259","50,5% L / 49,5% P","1,01","9,2","8,9","82","18,0","5:04","176","5:41,8","5:42","--","--"
"3","5:51,7","16:57","1,00","5:52","5:16","143","147","36","4","392","4.89","507","6.33","173","264","50,2% L / 49,8% P","0,99","9,0","8,9","84","18,0","5:17","176","5:51","5:51","--","--"
"4","4:41,5","21:38","1,00","4:42","4:50","141","147","2","23","385","4.80","440","5.49","177","235","50,5% L / 49,5% P","1,20","9,7","7,9","70","18,0","4:25","181","4:41,5","4:42","--","--"
"5","4:35,5","26:14","1,00","4:35","4:43","141","145","1","20","393","4.90","460","5.74","178","232","50,2% L / 49,8% P","1,23","9,7","7,7","69","18,0","4:23","181","4:35,5","4:36","--","--"
"6","4:41,1","30:55","1,00","4:41","4:54","141","145","0","27","373","4.65","433","5.40","176","237","50,4% L / 49,6% P","1,21","9,8","7,9","67","19,0","4:29","180","4:41","4:41","--","--"
"7","4:48,6","35:44","1,00","4:49","5:01","141","146","0","21","371","4.63","404","5.04","177","242","50,3% L / 49,7% P","1,18","9,7","8,0","69","19,0","4:43","178","4:48","4:48","--","--"
"8","4:56,5","40:40","1,00","4:57","5:04","140","143","0","14","372","4.64","416","5.19","177","245","50,1% L / 49,9% P","1,15","9,6","8,1","70","18,0","4:47","179","4:56,5","4:57","--","--"
"9","5:13,2","45:53","1,00","5:13","5:10","141","148","7","5","386","4.82","439","5.48","175","252","50,3% L / 49,7% P","1,10","9,6","8,5","73","16,0","4:48","178","5:13","5:13","--","--"
"10","5:22,7","51:16","1,00","5:23","5:12","142","147","15","0","399","4.98","467","5.83","175","257","50,1% L / 49,9% P","1,07","9,4","8,7","76","17,0","5:17","185","5:22,7","5:23","--","--"
"11","5:34,2","56:50","1,00","5:34","5:14","144","150","22","1","399","4.98","492","6.14","174","261","50,0% L / 50,0% P","1,04","9,4","8,8","78","17,0","5:24","175","5:34","5:34","--","--"
"12","1:58,7","58:49","0,30","6:30","5:32","144","148","17","0","402","5.02","454","5.67","171","276","50,2% L / 49,8% P","0,89","8,6","9,5","26","17,0","6:01","175","1:58","6:28","--","--"
"Podsumowanie","58:49","58:49","11,30","5:12","5:08","141","150","135","138","385","4.80","594","7.41","175","250","50,3% L / 49,7% P","1,10","9,5","8,5","842","17,9","4:23","185","58:46","5:12","--","--"
