"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","10:31","10:31","2,00","5:15","5:16","140","147","7","6","172","260","50,5% L / 49,5% P","1,10","9,4","8,3","385","383","4.81","452","5.68","151","14,0","5:02","176","10:28","5:13"
"","1","Bieg","4 - 6","10:00","20:31","2,26","4:25","4:24","164","171","15","5","181","234","50,3% L / 49,7% P","1,24","8,9","6,9","456","456","5.73","517","6.49","168","10,0","4:12","187","10:00","4:25"
"","","Regeneracja","7","3:00","23:31","0,50","5:59","5:37","151","169","4","2","167","277","51,0% L / 49,0% P","1,04","9,3","8,8","367","348","4.37","488","6.13","43","9,0","4:16","183","2:58","5:55"
"","2","Bieg","8 - 10","10:00","33:31","2,31","4:20","4:25","166","173","4","13","181","229","50,6% L / 49,4% P","1,26","9,1","7,0","405","406","5.10","475","5.96","169","8,0","4:12","185","10:00","4:20"
"","","Regeneracja","11","3:00","36:31","0,50","5:58","5:47","155","172","1","4","167","282","50,5% L / 49,5% P","1,04","9,3","8,8","342","331","4.16","439","5.51","43","9,0","4:10","184","2:58","5:54"
"","3","Bieg","12 - 14","10:00","46:31","2,27","4:24","4:25","170","175","4","6","182","233","50,7% L / 49,3% P","1,24","8,8","6,8","420","421","5.29","470","5.90","172","9,0","4:09","187","10:00","4:24"
"","","Regeneracja","15","3:00","49:31","0,50","5:59","5:51","158","175","0","1","168","283","50,3% L / 49,7% P","1,02","9,1","8,7","349","337","4.23","477","5.99","43","8,0","4:23","183","2:58","5:55"
"","","Schładzanie","16","3:50,4","53:21","0,67","5:46","5:47","148","152","3","6","169","276","50,7% L / 49,3% P","1,02","9,2","8,9","344","343","4.31","379","4.76","51","9,0","5:33","174","3:50,4","5:46"
"","Podsumowanie","--","--","53:21","53:21","11,02","4:51","4:50","158","175","39","42","177","249","50,5% L / 49,5% P","1,17","9,1","7,6","405","398","5.00","517","6.49","839","10,0","4:09","187","53:16","4:50"
