"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:55,5","4:55,5","1,00","4:56","5:05","134","145","0","11","369","4.63","458","5.75","175","242","50,9% L / 49,1% P","1,16","9,7","8,2","69","16,0","4:30","179","4:55,5","4:55","--","--"
"2","4:58,6","9:54,0","1,00","4:59","5:02","143","151","1","7","371","4.66","413","5.18","174","246","50,9% L / 49,1% P","1,15","9,7","8,2","74","13,0","4:52","177","4:58","4:58","--","--"
"3","4:13,7","14:08","1,00","4:14","4:19","157","164","1","7","426","5.35","491","6.16","182","223","50,3% L / 49,7% P","1,29","9,4","7,1","69","12,0","4:09","186","4:13,7","4:14","--","--"
"4","4:15,0","18:23","1,00","4:15","4:16","162","165","0","4","429","5.38","462","5.80","182","223","50,0% L / 50,0% P","1,30","9,4","7,0","71","11,0","4:09","184","4:15,0","4:15","--","--"
"5","4:14,2","22:37","1,00","4:14","4:17","165","172","0","3","429","5.38","458","5.75","183","223","50,1% L / 49,9% P","1,29","9,2","6,9","72","10,0","4:05","186","4:14","4:14","--","--"
"6","4:16,8","26:54","1,00","4:17","4:14","169","173","5","1","446","5.60","520","6.53","183","224","50,2% L / 49,8% P","1,28","9,1","6,8","74","10,0","4:09","186","4:16,8","4:17","--","--"
"7","4:20,8","31:14","1,00","4:21","4:20","170","174","4","1","433","5.43","471","5.91","183","227","50,0% L / 50,0% P","1,26","8,9","6,8","75","11,0","4:08","185","4:20,8","4:21","--","--"
"8","4:31,0","35:45","1,00","4:31","4:28","170","173","7","2","422","5.30","468","5.87","184","232","50,0% L / 50,0% P","1,21","8,5","6,8","77","11,0","4:19","186","4:31,0","4:31","--","--"
"9","4:29,2","40:15","1,00","4:29","4:26","171","174","9","1","426","5.35","524","6.58","184","229","50,0% L / 50,0% P","1,21","8,5","6,8","77","9,0","4:21","188","4:29","4:29","--","--"
"10","4:24,5","44:39","1,00","4:24","4:20","173","175","8","0","437","5.48","460","5.77","186","228","50,1% L / 49,9% P","1,22","8,3","6,6","77","9,0","4:19","188","4:24","4:24","--","--"
"11","5:56,1","50:35","1,00","5:56","5:56","149","175","1","8","324","4.07","450","5.65","168","283","50,1% L / 49,9% P","1,01","9,1","8,8","76","10,0","4:23","183","5:56","5:56","--","--"
"12","6:00,3","56:36","1,00","6:00","5:52","145","148","8","1","339","4.25","367","4.61","170","280","50,3% L / 49,7% P","0,99","8,9","8,9","74","10,0","5:26","172","6:00,3","6:00","--","--"
"13","0:01,2","56:37","0,00","3:58","6:05","145","145","0","0","346","4.34","346","4.34","166","282","50,6% L / 49,4% P","0,96","9,2","9,4","0","12,0","6:21","166","0:01","3:23","--","--"
"Podsumowanie","56:37","56:37","12,00","4:43","4:43","158","175","45","48","399","5.01","524","6.58","179","241","50,3% L / 49,7% P","1,19","9,1","7,5","886","11,0","4:05","188","56:35","4:43","--","--"
