"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Regeneracja","13","1:30","39:22","0,19","7:59","6:48","150","166","4","1","158","327","50,0% L / 50,0% P","0,92","8,0","8,5","384","301","3.79","594","7.47","20","6,0","4:02","178","1:28","7:48"
"","6","Bieg","14","3:57,4","43:19","1,00","3:57","4:06","157","167","4","9","186","215","50,1% L / 49,9% P","1,32","8,8","6,5","471","471","5.93","598","7.52","66","6,0","3:56","190","3:57","3:57"
"","","Regeneracja","15","1:30","44:49","0,18","8:29","7:43","145","163","0","2","156","328","49,7% L / 50,3% P","0,82","7,8","9,4","313","235","2.96","486","6.12","18","6,0","3:58","186","1:28","8:17"
"","7","Bieg","16","3:59,0","48:48","1,00","3:59","3:59","158","166","9","5","186","217","50,0% L / 50,0% P","1,33","8,6","6,4","464","464","5.84","565","7.11","68","6,0","3:42","190","3:59,0","3:59"
"","","Regeneracja","17","1:30","50:18","0,16","9:14","8:32","146","164","1","1","154","356","49,6% L / 50,4% P","0,76","6,7","8,7","280","208","2.62","417","5.25","17","6,0","4:03","185","1:28","9:02"
"","8","Bieg","18","3:57,5","54:16","1,00","3:58","4:01","158","165","5","4","188","217","50,2% L / 49,8% P","1,33","8,6","6,3","445","452","5.69","564","7.10","67","6,0","3:48","192","3:57,5","3:58"
"","","Regeneracja","19","1:30","55:46","0,17","8:44","7:29","147","166","1","0","155","336","49,8% L / 50,2% P","0,82","7,5","9,0","338","244","3.07","509","6.40","18","7,0","3:59","186","1:28","8:32"
"","9","Bieg","20","3:58,9","59:45","1,00","3:59","4:01","159","165","3","4","188","217","50,1% L / 49,9% P","1,32","8,6","6,4","471","482","6.07","599","7.54","68","6,0","3:35","191","3:58,9","3:59"
"","","Regeneracja","21","1:30","1:01:15","0,19","7:54","6:59","148","166","1","2","157","331","49,9% L / 50,1% P","0,92","8,1","8,6","392","285","3.59","617","7.76","18","6,0","4:09","185","1:28","7:44"
"","10","Bieg","22","3:58,4","1:05:13","1,00","3:58","4:06","157","164","4","9","187","218","50,1% L / 49,9% P","1,32","8,6","6,4","469","470","5.91","581","7.31","67","6,0","3:55","191","3:58","3:58"
"","","Regeneracja","23","1:30","1:06:43","0,17","8:47","7:53","145","163","0","2","155","332","49,8% L / 50,2% P","0,82","7,4","9,1","310","226","2.84","461","5.80","16","6,0","3:56","180","1:28","8:36"
"","11","Bieg","24","3:59,3","1:10:42","1,00","3:59","3:59","159","166","9","4","188","219","50,2% L / 49,8% P","1,32","8,5","6,4","467","471","5.93","558","7.02","69","6,0","3:45","192","3:59","3:59"
"","","Regeneracja","25","1:30","1:12:12","0,18","8:14","7:51","145","162","0","0","156","331","50,2% L / 49,8% P","0,82","7,7","9,4","303","234","2.94","435","5.47","16","6,0","3:58","188","1:28","8:03"
"","12","Bieg","26","3:57,3","1:16:10","1,00","3:57","3:59","158","166","5","4","188","218","50,2% L / 49,8% P","1,33","8,5","6,3","452","458","5.76","562","7.07","68","6,0","3:49","191","3:57,3","3:57"
"","","Regeneracja","27","1:30","1:17:40","0,18","8:28","7:23","149","165","0","0","156","331","49,6% L / 50,4% P","0,82","7,5","9,0","338","246","3.10","520","6.54","18","6,0","3:58","188","1:28","8:17"
"","13","Bieg","28","3:58,8","1:21:38","1,00","3:59","4:01","158","165","2","2","189","219","50,1% L / 49,9% P","1,32","8,5","6,3","471","483","6.08","586","7.37","68","6,0","3:46","191","3:58,8","3:59"
"","","Regeneracja","29","1:30","1:23:08","0,18","8:21","7:29","146","164","0","1","154","342","49,6% L / 50,4% P","0,90","7,3","8,0","376","254","3.20","598","7.52","17","6,0","4:10","185","1:28","8:10"
"","14","Bieg","30","3:56,2","1:27:05","1,00","3:56","4:04","158","165","5","10","188","218","50,3% L / 49,7% P","1,33","8,5","6,3","472","475","5.98","603","7.59","67","6,0","3:49","192","3:56","3:56"
"","","Schładzanie","31 - 32","6:26,4","1:33:31","1,14","5:39","5:34","141","164","4","4","171","277","49,7% L / 50,3% P","1,04","9,0","8,5","360","351","4.42","480","6.04","89","6,0","3:51","187","6:25","5:38"
"","Podsumowanie","--","--","1:33:31","1:33:31","20,01","4:40","4:39","152","167","98","98","178","247","50,0% L / 50,0% P","1,20","8,6","7,3","432","408","5.13","617","7.76","1.449","7,0","3:32","192","1:33:16","4:40"
