"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","12:11","12:11","2,50","4:52","4:49","139","146","15","8","174","245","49,7% L / 50,3% P","1,18","9,7","8,0","400","397","5.00","499","6.28","182","11,0","4:29","179","12:09","4:52"
"","1","Bieg","4","3:54,5","16:05","1,00","3:55","4:00","156","163","3","6","186","213","50,0% L / 50,0% P","1,35","8,9","6,4","485","486","6.12","580","7.30","66","9,0","3:32","191","3:54","3:54"
"","","Regeneracja","5","1:30","17:35","0,20","7:20","6:49","140","159","2","0","161","307","49,8% L / 50,2% P","0,92","8,9","9,6","334","309","3.89","492","6.19","20","8,0","4:01","186","1:28","7:11"
"","2","Bieg","6","3:55,9","21:31","1,00","3:56","4:05","154","162","2","10","185","215","50,1% L / 49,9% P","1,34","8,9","6,5","462","463","5.83","564","7.10","66","8,0","3:42","191","3:55,9","3:56"
"","","Regeneracja","7","1:30","23:01","0,21","7:08","6:02","145","160","1","0","162","305","50,0% L / 50,0% P","1,00","8,6","8,6","370","317","3.99","524","6.59","20","8,0","3:55","186","1:28","6:58"
"","3","Bieg","8","3:57,6","26:59","1,00","3:58","4:01","158","166","8","3","185","214","50,1% L / 49,9% P","1,34","8,9","6,5","458","459","5.78","564","7.10","68","8,0","3:51","189","3:57,6","3:58"
"","","Regeneracja","9","1:30","28:29","0,18","8:22","7:18","147","163","2","0","157","328","49,9% L / 50,1% P","0,91","7,7","8,4","308","270","3.40","465","5.85","20","7,0","4:01","183","1:28","8:11"
"","4","Bieg","10","3:57,0","32:26","1,00","3:57","4:05","157","166","4","3","186","214","50,3% L / 49,7% P","1,32","8,7","6,6","429","435","5.47","492","6.19","66","7,0","3:40","190","3:57,0","3:57"
"","","Regeneracja","11","1:30","33:56","0,18","8:26","7:26","149","165","0","0","156","331","49,8% L / 50,2% P","0,86","7,6","8,9","320","242","3.05","490","6.17","21","7,0","4:00","184","1:28","8:15"
"","5","Bieg","12","3:56,2","37:52","1,00","3:56","4:01","159","166","1","2","186","214","50,0% L / 50,0% P","1,35","8,8","6,4","473","482","6.07","549","6.91","67","6,0","3:37","189","3:56","3:56"
