"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:52,8","4:52,8","1,00","4:53","5:11","123","133","1","31","346","4.35","406","5.11","175","237","51,0% L / 49,0% P","1,16","9,5","8,2","62","17,0","4:21","181","4:52,8","4:53","--","--"
"2","5:19,0","10:12","1,00","5:19","5:05","134","140","20","11","388","4.88","497","6.25","176","252","50,2% L / 49,8% P","1,08","8,9","8,1","76","14,0","4:37","180","5:19,0","5:19","--","--"
"3","6:36,9","16:49","1,00","6:37","5:30","140","144","66","0","405","5.10","430","5.41","172","275","49,8% L / 50,2% P","0,88","8,2","9,1","94","14,0","6:05","175","6:36,9","6:37","--","--"
"4","6:42,5","23:31","1,00","6:43","5:34","140","145","63","10","376","4.73","429","5.40","170","274","50,2% L / 49,8% P","0,85","8,2","9,6","91","14,0","4:12","179","6:42,5","6:43","--","--"
"5","3:49,7","27:21","1,00","3:50","4:11","139","142","0","86","327","4.11","415","5.22","180","212","50,6% L / 49,4% P","1,46","10,0","6,6","53","12,0","3:29","187","3:49","3:49","--","--"
"6","6:57,9","34:19","1,00","6:58","5:35","141","147","71","14","380","4.78","463","5.83","170","281","50,3% L / 49,7% P","0,87","7,9","9,2","94","11,0","3:44","182","6:57,9","6:58","--","--"
"7","5:51,1","40:10","1,00","5:51","5:30","141","144","38","32","369","4.64","415","5.22","171","266","50,3% L / 49,7% P","0,96","8,9","9,4","77","12,0","3:37","183","5:51,1","5:51","--","--"
"8","4:00,6","44:11","1,00","4:01","4:20","142","145","0","76","331","4.17","392","4.93","179","215","50,2% L / 49,8% P","1,41","10,0","6,9","55","10,0","3:29","184","4:00","4:00","--","--"
"9","4:19,0","48:30","1,00","4:19","4:36","141","148","0","44","362","4.56","445","5.60","176","223","50,7% L / 49,3% P","1,33","10,1","7,3","60","10,0","3:57","180","4:19,0","4:19","--","--"
"10","4:47,6","53:17","1,00","4:48","4:57","140","144","0","13","377","4.74","418","5.26","175","238","50,3% L / 49,7% P","1,19","9,8","8,0","67","10,0","4:34","177","4:47,6","4:48","--","--"
"11","5:18,9","58:36","1,00","5:19","5:13","141","143","9","0","382","4.81","425","5.35","172","254","50,6% L / 49,4% P","1,10","9,6","8,6","73","9,0","4:45","175","5:18,9","5:19","--","--"
"12","5:29,0","1:04:05","1,00","5:29","5:18","138","143","17","0","386","4.86","421","5.30","171","261","50,4% L / 49,6% P","1,07","9,6","8,8","73","10,0","5:18","173","5:29,0","5:29","--","--"
"13","5:52,5","1:09:58","1,00","5:52","5:24","140","144","29","0","392","4.93","441","5.55","170","270","50,3% L / 49,7% P","1,01","9,2","9,0","77","10,0","5:20","175","5:52","5:52","--","--"
"14","0:01,7","1:09:59","0,01","4:20","5:54","142","142","0","0","363","4.57","371","4.67","166","282","50,2% L / 49,8% P","0,93","10,8","11,8","0","10,0","6:59","166","0:01","2:37","--","--"
"Podsumowanie","1:09:59","1:09:59","13,01","5:23","5:09","139","148","315","318","374","4.71","497","6.25","173","255","50,3% L / 49,7% P","1,07","9,1","8,5","951","11,9","3:29","187","1:09:57","5:23","--","--"
