"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:03,7","5:03,7","1,00","5:04","5:09","135","144","0","1","361","4.58","407","5.16","174","247","49,7% L / 50,3% P","1,12","9,1","7,8","72","15,0","4:35","180","5:00","5:00","--","--"
"2","5:03,5","10:07","1,00","5:03","5:02","144","148","5","2","370","4.69","451","5.72","177","251","49,5% L / 50,5% P","1,12","8,9","7,7","75","12,0","4:50","180","5:03","5:03","--","--"
"3","5:10,0","15:17","1,00","5:10","5:07","145","148","4","1","364","4.62","406","5.15","177","253","50,0% L / 50,0% P","1,10","8,9","7,9","76","10,0","4:41","182","5:10","5:10","--","--"
"4","5:09,9","20:27","1,00","5:10","5:09","146","151","4","1","364","4.62","410","5.20","176","254","50,1% L / 49,9% P","1,10","9,1","8,1","75","10,0","5:00","179","5:09,9","5:10","--","--"
"5","5:10,6","25:38","1,00","5:11","5:08","145","148","4","0","367","4.66","428","5.43","175","253","50,2% L / 49,8% P","1,10","9,1","8,1","75","9,0","5:06","178","5:10,6","5:11","--","--"
"6","5:08,5","30:46","1,00","5:09","5:11","145","148","0","5","364","4.62","393","4.98","176","251","50,2% L / 49,8% P","1,11","9,2","8,1","73","9,0","4:58","179","5:08","5:08","--","--"
"7","5:03,9","35:50","1,00","5:04","5:07","147","154","0","4","371","4.71","418","5.30","174","252","50,1% L / 49,9% P","1,13","9,4","8,1","73","8,0","4:54","178","5:03,9","5:04","--","--"
"8","5:11,0","41:01","1,00","5:11","5:13","147","151","3","5","367","4.66","429","5.44","174","256","49,9% L / 50,1% P","1,10","9,2","8,1","75","8,0","4:42","178","5:11","5:11","--","--"
"9","5:10,2","46:11","1,00","5:10","5:12","147","152","4","7","366","4.64","445","5.64","174","256","50,0% L / 50,0% P","1,12","9,2","8,1","74","8,0","4:47","176","5:10,2","5:10","--","--"
"10","5:10,9","51:22","1,00","5:11","5:09","149","154","5","5","371","4.71","429","5.44","173","256","49,9% L / 50,1% P","1,11","9,3","8,1","76","8,0","5:04","176","5:10,9","5:11","--","--"
