"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:00,3","5:00,3","1,00","5:00","5:01","136","144","2","2","391","4.90","471","5.90","174","251","50,3% L / 49,8% P","1,15","9,7","8,4","72","17,0","4:28","182","5:00,3","5:00","--","--"
"2","5:01,7","10:02","1,00","5:02","5:01","144","150","4","0","396","4.96","435","5.45","175","251","50,1% L / 49,9% P","1,14","9,6","8,2","76","15,0","4:58","178","5:01,7","5:02","--","--"
"3","5:06,1","15:08","1,00","5:06","5:05","144","149","3","0","389","4.87","474","5.94","175","253","49,8% L / 50,2% P","1,12","9,6","8,3","76","14,0","4:30","178","5:06","5:06","--","--"
"4","5:08,5","20:17","1,00","5:08","5:06","147","151","5","0","389","4.87","460","5.76","175","251","49,7% L / 50,3% P","1,11","9,7","8,5","77","13,0","5:00","185","5:08","5:08","--","--"
"5","5:10,1","25:27","1,00","5:10","5:11","148","153","2","1","375","4.70","415","5.20","174","250","49,8% L / 50,2% P","1,11","9,7","8,5","77","12,0","4:55","177","5:10,1","5:10","--","--"
"6","5:09,0","30:36","1,00","5:09","5:12","146","150","0","5","368","4.61","400","5.01","173","251","50,0% L / 50,0% P","1,12","9,8","8,5","75","10,0","5:01","176","5:08","5:08","--","--"
"7","5:09,2","35:45","1,00","5:09","5:12","147","154","0","3","371","4.65","405","5.08","173","254","50,1% L / 49,9% P","1,12","9,9","8,6","76","10,0","4:59","177","5:09,2","5:09","--","--"
"8","5:05,3","40:50","1,00","5:05","5:07","146","151","1","5","376","4.71","409","5.13","174","253","50,1% L / 49,9% P","1,13","9,8","8,4","73","10,0","4:57","176","5:05","5:05","--","--"
"9","5:09,4","45:59","1,00","5:09","5:09","146","151","1","3","376","4.71","407","5.10","174","256","50,2% L / 49,8% P","1,12","9,7","8,4","74","10,0","4:59","177","5:09","5:09","--","--"
"10","5:12,4","51:12","1,00","5:12","5:12","147","152","4","1","382","4.79","413","5.18","173","256","50,1% L / 49,9% P","1,11","9,7","8,5","76","10,0","4:56","176","5:12,4","5:12","--","--"
"11","5:13,9","56:26","1,00","5:14","5:10","148","152","5","1","387","4.85","432","5.41","173","257","50,0% L / 50,0% P","1,10","9,6","8,5","77","11,0","4:59","177","5:13,9","5:14","--","--"
"12","5:10,5","1:01:36","1,00","5:11","5:08","148","152","4","0","391","4.90","431","5.40","172","257","50,3% L / 49,7% P","1,12","9,8","8,6","75","11,0","4:50","176","5:10","5:10","--","--"
"13","5:09,9","1:06:46","1,00","5:10","5:08","149","155","5","0","393","4.92","448","5.61","172","258","50,2% L / 49,8% P","1,12","9,9","8,6","76","11,0","5:02","175","5:09,9","5:10","--","--"
"14","5:07,0","1:11:53","1,00","5:07","5:06","148","151","2","1","384","4.81","416","5.21","174","257","50,3% L / 49,7% P","1,12","9,7","8,4","74","11,0","5:00","176","5:07","5:07","--","--"
"15","5:03,2","1:16:56","1,00","5:03","5:06","146","150","0","5","381","4.77","419","5.25","172","256","50,5% L / 49,5% P","1,15","10,0","8,5","71","10,0","4:54","176","5:03","5:03","--","--"
"16","5:01,9","1:21:58","1,00","5:02","5:05","149","153","2","6","382","4.79","480","6.02","172","255","50,4% L / 49,6% P","1,15","10,0","8,4","74","10,0","4:53","181","5:01,9","5:02","--","--"
"17","5:00,1","1:26:58","1,00","5:00","5:01","147","151","1","7","386","4.84","420","5.26","173","256","50,6% L / 49,4% P","1,16","10,0","8,4","70","10,0","4:48","175","5:00","5:00","--","--"
"18","5:04,4","1:32:03","1,00","5:04","5:06","146","150","0","1","384","4.81","419","5.25","172","257","50,4% L / 49,6% P","1,15","10,0","8,5","71","10,0","4:54","176","5:04,4","5:04","--","--"
"19","0:01,7","1:32:05","0,01","3:28","4:51","144","144","0","0","401","5.03","403","5.05","170","264","50,2% L / 49,8% P","1,15","10,0","8,3","0","11,0","5:02","170","0:01","2:06","--","--"
"Podsumowanie","1:32:05","1:32:05","18,01","5:07","5:07","146","155","42","43","383","4.80","480","6.02","173","254","50,2% L / 49,8% P","1,13","9,8","8,4","1.338","11,4","4:28","185","1:32:01","5:07","--","--"
