"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:48,5","4:48,5","1,00","4:48","4:54","131","142","0","2","378","4.87","455","5.87","175","239","49,8% L / 50,2% P","1,19","9,6","7,9","68","17,0","4:21","182","4:45","4:45","--","--"
"2","4:46,7","9:35,1","1,00","4:47","4:45","140","143","4","1","386","4.98","411","5.30","177","238","49,8% L / 50,2% P","1,19","9,5","7,8","73","13,0","4:32","180","4:46,7","4:47","--","--"
"3","4:49,5","14:25","1,00","4:50","4:47","141","145","5","1","385","4.97","433","5.58","176","239","50,0% L / 50,0% P","1,18","9,6","7,9","73","12,0","4:24","179","4:49","4:49","--","--"
"4","4:54,6","19:19","1,00","4:55","4:51","142","147","5","0","383","4.94","434","5.60","174","242","50,3% L / 49,7% P","1,17","9,8","8,1","73","11,0","4:44","176","4:54,6","4:55","--","--"
"5","4:51,6","24:11","1,00","4:52","4:51","142","146","1","0","381","4.91","427","5.51","175","238","50,1% L / 49,9% P","1,18","9,7","8,0","72","10,0","4:40","178","4:51","4:51","--","--"
"6","4:50,4","29:01","1,00","4:50","4:54","142","146","0","5","378","4.87","403","5.20","175","238","50,1% L / 49,9% P","1,18","9,7","8,0","71","9,0","4:44","179","4:50,4","4:50","--","--"
"7","4:51,9","33:53","1,00","4:52","4:54","142","146","1","4","380","4.90","440","5.67","175","240","50,4% L / 49,6% P","1,18","9,7","8,0","71","9,0","4:15","178","4:51,9","4:52","--","--"
"8","4:49,3","38:42","1,00","4:49","4:52","142","145","0","5","380","4.90","415","5.35","175","238","50,4% L / 49,6% P","1,19","9,7","7,9","70","10,0","4:40","178","4:49","4:49","--","--"
"9","4:53,1","43:36","1,00","4:53","4:53","143","148","1","4","380","4.90","437","5.64","175","241","50,5% L / 49,5% P","1,18","9,6","8,0","71","10,0","4:33","178","4:53","4:53","--","--"
"10","4:55,5","48:31","1,00","4:55","4:54","144","149","3","1","377","4.86","403","5.20","174","243","50,4% L / 49,6% P","1,17","9,7","8,1","72","10,0","4:47","176","4:55,5","4:55","--","--"
"11","4:54,9","53:26","1,00","4:55","4:53","143","148","6","1","382","4.93","428","5.52","174","243","50,6% L / 49,4% P","1,17","9,6","8,1","70","10,0","4:38","177","4:54,9","4:55","--","--"
"12","4:56,3","58:22","1,00","4:56","4:55","143","146","3","0","376","4.85","443","5.71","176","244","50,4% L / 49,6% P","1,15","9,5","8,0","71","10,0","4:44","179","4:56","4:56","--","--"
"13","4:54,7","1:03:17","1,00","4:55","4:53","143","146","3","0","380","4.90","435","5.61","175","246","50,4% L / 49,6% P","1,16","9,6","8,0","70","10,0","4:48","177","4:54,7","4:55","--","--"
"14","4:52,2","1:08:09","1,00","4:52","4:53","144","148","1","0","381","4.91","430","5.55","175","243","50,6% L / 49,4% P","1,17","9,6","8,0","69","10,0","4:44","177","4:52","4:52","--","--"
"15","4:53,9","1:13:03","1,00","4:54","4:56","143","146","0","4","380","4.90","398","5.13","175","242","50,8% L / 49,3% P","1,17","9,6","8,0","69","9,0","4:44","177","4:53,9","4:54","--","--"
"16","4:51,1","1:17:54","1,00","4:51","4:54","144","147","3","6","384","4.95","441","5.69","175","244","50,8% L / 49,2% P","1,18","9,7","8,0","69","9,0","4:23","179","4:51","4:51","--","--"
"17","4:49,7","1:22:44","1,00","4:50","4:51","143","146","1","7","387","4.99","429","5.53","175","244","50,7% L / 49,3% P","1,19","9,6","7,9","69","9,0","4:41","178","4:49","4:49","--","--"
"18","4:55,5","1:27:39","1,00","4:56","4:57","142","146","0","3","377","4.86","405","5.22","175","247","50,8% L / 49,2% P","1,17","9,5","7,9","70","9,0","4:47","179","4:55,5","4:56","--","--"
"19","4:57,1","1:32:36","1,00","4:57","4:55","144","148","6","2","379","4.89","401","5.17","175","248","50,5% L / 49,5% P","1,15","9,5","8,1","72","9,0","4:50","177","4:57","4:57","--","--"
"20","4:59,5","1:37:36","1,00","4:59","4:55","145","147","4","0","383","4.94","421","5.43","175","248","50,3% L / 49,7% P","1,15","9,5","8,1","71","10,0","4:46","178","4:59,5","4:59","--","--"
"21","4:51,8","1:42:28","1,00","4:52","4:56","144","147","1","6","383","4.94","416","5.36","175","247","50,4% L / 49,6% P","1,17","9,5","7,9","68","9,0","4:45","178","4:51","4:51","--","--"
"22","4:55,3","1:47:23","1,00","4:55","4:55","144","147","0","2","381","4.91","402","5.18","176","248","50,5% L / 49,5% P","1,16","9,4","7,9","70","9,0","4:47","179","4:55,3","4:55","--","--"
"23","0:01,2","1:47:24","0,01","3:22","5:05","141","141","0","0","383","4.94","383","4.94","170","245","50,4% L / 49,6% P","1,18","10,6","8,4","0","9,0","5:01","170","0:01","2:52","--","--"
"Podsumowanie","1:47:24","1:47:24","22,01","4:53","4:53","142","149","51","53","381","4.91","455","5.87","175","243","50,4% L / 49,6% P","1,17","9,6","8,0","1.552","10,2","4:15","182","1:47:17","4:53","--","--"
