"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:04,2","5:04,2","1,00","5:04","5:07","134","142","3","4","381","4.71","445","5.50","173","248","50,4% L / 49,6% P","1,13","9,8","8,6","72","15,0","4:37","178","5:04","5:04","--","--"
"2","4:59,4","10:04","1,00","4:59","4:59","142","148","5","1","388","4.80","422","5.22","174","247","50,2% L / 49,8% P","1,15","9,9","8,4","76","14,0","4:45","178","4:59,4","4:59","--","--"
"3","5:04,7","15:08","1,00","5:05","5:02","143","149","2","0","386","4.77","421","5.21","172","248","50,5% L / 49,5% P","1,15","10,1","8,6","76","13,0","4:43","177","5:04,7","5:05","--","--"
"4","5:08,3","20:17","1,00","5:08","5:06","144","148","6","1","386","4.77","457","5.65","170","253","50,5% L / 49,5% P","1,14","10,3","8,8","76","12,0","5:02","175","5:08","5:08","--","--"
"5","5:06,2","25:23","1,00","5:06","5:06","144","147","2","0","405","5.01","438","5.42","171","251","50,7% L / 49,3% P","1,14","10,2","8,7","75","12,0","4:47","175","5:06","5:06","--","--"
"6","5:10,1","30:33","1,00","5:10","5:14","143","146","0","5","415","5.13","440","5.44","170","254","50,9% L / 49,1% P","1,14","10,2","8,7","74","9,0","4:55","174","5:10","5:10","--","--"
"7","5:03,0","35:36","1,00","5:03","5:08","145","148","2","6","417","5.16","444","5.49","171","249","50,8% L / 49,2% P","1,16","10,2","8,6","74","8,0","4:51","179","5:03","5:03","--","--"
"8","5:05,1","40:41","1,00","5:05","5:04","144","149","0","4","426","5.27","475","5.87","171","251","50,9% L / 49,1% P","1,16","10,2","8,6","74","9,0","4:51","175","5:05","5:05","--","--"
"9","5:07,0","45:48","1,00","5:07","5:07","146","151","2","4","403","4.98","524","6.48","171","252","51,1% L / 48,9% P","1,15","10,2","8,6","74","9,0","4:52","203","5:07","5:07","--","--"
"10","5:09,0","50:57","1,00","5:09","5:07","146","150","4","1","390","4.82","437","5.40","170","252","50,8% L / 49,3% P","1,14","10,2","8,8","75","9,0","5:02","173","5:09","5:09","--","--"
"11","5:07,3","56:04","1,00","5:07","5:06","147","150","3","0","387","4.79","429","5.30","172","252","50,8% L / 49,3% P","1,13","10,1","8,7","75","10,0","4:50","173","5:07,3","5:07","--","--"
"12","5:11,0","1:01:15","1,00","5:11","5:08","146","149","3","0","381","4.71","439","5.43","171","254","50,8% L / 49,2% P","1,13","10,0","8,7","75","10,0","4:36","177","5:11","5:11","--","--"
"13","5:07,2","1:06:23","1,00","5:07","5:08","146","151","1","3","416","5.14","460","5.69","173","253","50,9% L / 49,1% P","1,14","9,8","8,4","73","9,0","4:35","181","5:07","5:07","--","--"
"14","5:02,3","1:11:25","1,00","5:02","5:05","145","150","2","8","425","5.26","482","5.96","173","252","51,0% L / 49,0% P","1,15","9,9","8,4","70","8,0","4:48","176","5:02","5:02","--","--"
"15","5:08,2","1:16:33","1,00","5:08","5:12","145","148","1","3","397","4.91","453","5.60","172","253","51,0% L / 49,0% P","1,13","10,0","8,6","71","9,0","4:52","175","5:08","5:08","--","--"
"16","0:00,7","1:16:34","0,00","2:57","5:07","141","141","0","0","440","5.44","440","5.44","172","262","50,8% L / 49,3% P","1,15","10,0","8,5","0","9,0","5:12","172","0:00,7","2:57","--","--"
"Podsumowanie","1:16:34","1:16:34","15,00","5:06","5:07","144","151","38","40","400","4.95","524","6.48","172","251","50,7% L / 49,3% P","1,14","10,1","8,6","1.111","10,4","4:35","203","1:16:32","5:06","--","--"
