"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:58,3","4:58,3","1,00","4:58","5:17","122","133","1","32","339","4.30","387","4.91","174","241","51,2% L / 48,8% P","1,15","9,7","8,2","61","20,0","4:37","180","4:56","4:56","--","--"
"2","5:36,1","10:34","1,00","5:36","5:20","136","144","20","10","370","4.69","453","5.74","176","257","50,2% L / 49,8% P","1,03","8,8","8,4","79","18,0","4:46","181","5:36","5:36","--","--"
"3","7:00,5","17:35","1,00","7:01","5:52","141","147","66","0","373","4.73","400","5.07","175","279","50,1% L / 49,9% P","0,81","7,6","9,2","96","17,0","6:37","180","7:00","7:00","--","--"
"4","7:01,7","24:36","1,00","7:02","5:49","143","149","60","10","350","4.44","398","5.05","176","278","50,4% L / 49,6% P","0,79","7,3","9,1","93","16,0","4:25","181","7:01,7","7:02","--","--"
"5","4:00,1","28:37","1,00","4:00","4:25","141","146","0","87","309","3.92","376","4.77","181","218","50,8% L / 49,2% P","1,38","9,7","6,8","56","15,0","3:41","187","4:00","4:00","--","--"
"6","7:40,1","36:17","1,00","7:40","6:07","142","147","73","11","337","4.27","389","4.93","174","288","50,8% L / 49,2% P","0,76","6,8","8,8","97","15,0","3:55","180","7:40","7:40","--","--"
"7","5:59,1","42:16","1,00","5:59","5:35","143","149","36","32","346","4.39","393","4.98","174","268","50,6% L / 49,4% P","0,92","8,3","9,0","77","16,0","3:41","185","5:59","5:59","--","--"
"8","4:18,2","46:34","1,00","4:18","4:39","142","147","0","75","312","3.95","409","5.18","180","225","50,7% L / 49,3% P","1,31","9,7","7,2","58","14,0","3:37","183","4:18","4:18","--","--"
"9","4:43,1","51:17","1,00","4:43","5:01","142","147","0","45","332","4.21","378","4.79","177","234","51,2% L / 48,8% P","1,20","9,6","7,8","63","14,0","4:00","182","4:43","4:43","--","--"
"10","5:11,6","56:29","1,00","5:12","5:20","143","147","0","12","347","4.40","370","4.69","175","252","51,2% L / 48,8% P","1,10","9,4","8,3","69","15,0","5:01","178","5:11,6","5:12","--","--"
"11","5:47,4","1:02:16","1,00","5:47","5:41","142","147","11","1","352","4.46","391","4.96","173","265","50,4% L / 49,6% P","1,00","9,1","8,9","75","15,0","5:18","176","5:47","5:47","--","--"
"12","5:51,7","1:08:08","1,00","5:52","5:39","144","148","16","0","358","4.54","407","5.16","173","267","50,2% L / 49,8% P","0,99","9,0","8,9","76","15,0","5:34","177","5:51,7","5:52","--","--"
"13","6:19,6","1:14:27","1,00","6:20","5:55","143","147","29","2","349","4.42","398","5.05","173","274","50,2% L / 49,8% P","0,91","8,5","9,1","79","15,0","5:44","175","6:19,6","6:20","--","--"
"14","0:01,5","1:14:29","0,00","5:21","6:16","139","139","0","0","298","3.78","298","3.78","171","268","50,7% L / 49,3% P","0,93","9,0","9,5","0","15,0","6:06","171","0:01","3:28","--","--"
"Podsumowanie","1:14:29","1:14:29","13,00","5:44","5:29","141","149","313","317","346","4.39","453","5.74","175","261","50,6% L / 49,4% P","0,99","8,6","8,6","980","15,8","3:37","187","1:14:25","5:43","--","--"
