"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:12,1","5:12,1","1,00","5:12","5:14","136","142","0","1","376","4.69","409","5.10","170","250","50,1% L / 49,9% P","1,12","10,0","8,9","74","15,0","4:48","176","5:12,1","5:12","--","--"
"2","5:10,2","10:22","1,00","5:10","5:08","141","146","3","0","386","4.81","418","5.21","172","252","49,7% L / 50,3% P","1,13","10,0","8,6","76","11,0","4:59","175","5:10","5:10","--","--"
"3","5:14,7","15:37","1,00","5:15","5:11","141","145","5","0","386","4.81","437","5.45","171","254","50,1% L / 49,9% P","1,12","10,1","8,9","77","10,0","4:52","175","5:14","5:14","--","--"
"4","5:15,9","20:53","1,00","5:16","5:13","142","146","5","0","385","4.80","426","5.31","170","255","50,3% L / 49,7% P","1,12","10,2","9,0","76","9,0","5:05","173","5:15,9","5:16","--","--"
"5","5:15,1","26:08","1,00","5:15","5:14","143","147","1","0","381","4.75","406","5.06","170","256","50,6% L / 49,4% P","1,12","10,1","8,8","76","8,0","5:09","172","5:15","5:15","--","--"
"6","5:13,4","31:21","1,00","5:13","5:16","141","145","0","6","381","4.75","401","5.00","170","255","50,7% L / 49,3% P","1,13","10,1","8,8","74","7,0","5:04","188","5:13,4","5:13","--","--"
"7","5:08,4","36:30","1,00","5:08","5:14","142","147","1","4","383","4.78","431","5.37","170","255","50,8% L / 49,2% P","1,14","10,1","8,7","73","6,0","4:42","176","5:08","5:08","--","--"
"8","5:07,5","41:37","1,00","5:07","5:09","142","148","1","6","387","4.83","424","5.29","170","256","50,9% L / 49,1% P","1,15","10,1","8,5","72","5,0","5:01","174","5:07,5","5:07","--","--"
"9","5:14,6","46:52","1,00","5:15","5:15","142","147","0","3","380","4.74","406","5.06","171","261","50,7% L / 49,3% P","1,12","9,8","8,6","73","5,0","5:04","177","5:14","5:14","--","--"
"10","5:17,9","52:10","1,00","5:18","5:16","143","147","3","1","373","4.65","396","4.94","171","262","50,5% L / 49,5% P","1,11","9,7","8,5","74","5,0","5:11","175","5:17,9","5:18","--","--"
"11","5:15,8","57:25","1,00","5:16","5:15","142","148","1","5","377","4.70","412","5.14","171","263","50,5% L / 49,5% P","1,12","9,7","8,5","74","5,0","5:05","175","5:15,8","5:16","--","--"
"12","0:01,0","57:26","0,00","3:38","5:24","144","144","0","0","364","4.54","364","4.54","169","258","51,4% L / 48,6% P","1,11","9,6","8,4","0","4,0","5:19","169","0:01","3:32","--","--"
"Podsumowanie","57:26","57:26","11,00","5:13","5:13","142","148","21","26","381","4.75","437","5.45","171","256","50,4% L / 49,6% P","1,12","10,0","8,7","820","7,8","4:42","188","57:24","5:13","--","--"
