"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","12:58","12:58","2,50","5:11","5:08","137","147","16","7","172","253","50,9% L / 49,1% P","1,12","9,9","8,6","390","386","4.83","476","5.96","186","9,0","4:46","175","12:55","5:10"
"","1","Bieg","4","3:59,5","16:57","1,00","4:00","4:02","158","167","2","2","184","216","50,5% L / 49,5% P","1,35","9,1","6,6","463","468","5.86","578","7.24","67","8,0","3:53","188","3:59","3:59"
"","","Regeneracja","5","1:30","18:27","0,22","6:51","6:26","144","166","0","3","161","296","50,3% L / 49,7% P","1,01","9,5","9,3","365","299","3.74","460","5.76","19","7,0","4:07","183","1:28","6:42"
"","2","Bieg","6","3:55,6","22:23","1,00","3:56","4:07","158","165","3","8","185","215","50,6% L / 49,4% P","1,35","8,9","6,4","448","451","5.65","557","6.97","65","7,0","3:53","201","3:55,6","3:56"
"","","Regeneracja","7","1:30","23:53","0,20","7:21","7:03","144","163","0","1","159","315","50,4% L / 49,6% P","0,87","8,8","10,0","323","274","3.43","482","6.03","19","6,0","3:55","184","1:28","7:11"
"","3","Bieg","8","3:59,5","27:52","1,00","4:00","3:58","161","169","7","1","186","217","50,7% L / 49,3% P","1,33","8,8","6,4","469","477","5.97","580","7.26","68","6,0","3:41","190","3:59,5","4:00"
"","","Regeneracja","9","1:30","29:22","0,22","6:55","6:22","150","167","0","1","161","303","50,3% L / 49,7% P","0,99","9,2","9,1","370","299","3.74","484","6.06","20","5,0","4:06","182","1:28","6:46"
"","4","Bieg","10","3:59,5","33:22","1,00","4:00","4:03","163","170","7","3","187","216","50,8% L / 49,2% P","1,31","8,6","6,4","449","455","5.70","567","7.10","68","6,0","3:53","191","3:59","3:59"
"","","Regeneracja","11","1:30","34:52","0,18","8:11","7:34","151","170","1","0","157","329","50,0% L / 50,0% P","0,83","8,0","9,5","332","252","3.15","512","6.41","20","7,0","4:04","186","1:28","8:00"
"","5","Bieg","12","4:00,3","38:52","1,00","4:00","4:03","161","170","2","2","186","218","50,8% L / 49,2% P","1,34","8,7","6,3","451","461","5.77","545","6.82","67","8,0","3:46","191","4:00","4:00"
"","","Regeneracja","13","1:30","40:22","0,19","7:44","7:34","151","171","0","3","159","320","50,4% L / 49,6% P","0,85","8,3","9,6","357","262","3.28","559","7.00","20","7,0","4:10","185","1:28","7:34"
"","6","Bieg","14","4:01,4","44:24","1,00","4:01","4:07","161","170","5","7","186","218","50,7% L / 49,3% P","1,32","8,7","6,4","451","452","5.66","561","7.02","67","6,0","3:44","192","4:01,4","4:01"
"","","Regeneracja","15","1:30","45:54","0,18","8:20","7:32","148","166","0","2","156","326","50,1% L / 49,9% P","0,83","7,8","9,3","311","238","2.98","469","5.87","18","5,0","4:00","187","1:28","8:09"
"","7","Bieg","16","4:01,2","49:55","1,00","4:01","3:59","162","170","8","2","186","218","50,8% L / 49,2% P","1,33","8,6","6,3","467","474","5.93","563","7.05","69","5,0","3:51","190","4:01","4:01"
"","","Regeneracja","17","1:30","51:25","0,20","7:38","6:55","150","169","1","1","159","319","50,4% L / 49,6% P","0,94","8,5","8,8","343","279","3.49","443","5.55","19","5,0","4:02","181","1:28","7:28"
"","8","Bieg","18","3:58,3","55:23","1,00","3:58","4:02","163","171","7","5","188","215","50,9% L / 49,1% P","1,30","8,4","6,3","449","455","5.70","583","7.30","68","6,0","3:53","192","3:58","3:58"
"","","Regeneracja","19","1:30","56:53","0,18","8:20","7:24","154","171","1","1","156","331","50,0% L / 50,0% P","0,83","7,6","9,1","333","247","3.09","504","6.31","20","7,0","4:01","186","1:28","8:09"
"","9","Bieg","20","3:56,9","1:00:50","1,00","3:57","4:00","163","174","4","2","187","215","50,9% L / 49,1% P","1,34","8,7","6,3","455","466","5.83","555","6.95","67","8,0","3:47","192","3:56,9","3:57"
"","","Regeneracja","21","1:30","1:02:20","0,18","8:20","7:06","152","172","0","2","155","326","49,4% L / 50,6% P","0,85","7,8","9,0","373","260","3.25","569","7.12","19","9,0","4:05","187","1:28","8:08"
"","10","Bieg","22","3:54,8","1:06:15","1,00","3:55","4:05","163","172","3","9","188","214","50,8% L / 49,2% P","1,33","8,5","6,3","448","452","5.66","566","7.09","66","7,0","3:47","193","3:54,8","3:55"
"","","Schładzanie","23 - 24","10:40","1:16:55","1,76","6:03","5:57","139","170","13","12","167","282","50,5% L / 49,5% P","1,00","9,3","9,2","350","338","4.23","489","6.12","138","7,0","3:47","188","10:39","6:02"
"","Podsumowanie","--","--","1:16:55","1:16:55","16,02","4:48","4:47","152","174","83","79","176","249","50,6% L / 49,4% P","1,17","8,9","7,7","419","398","4.98","583","7.30","1.170","7,1","3:41","201","1:16:43","4:47"
