"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","13:16","13:16","2,55","5:12","5:09","141","148","7","5","172","246","50,6% L / 49,4% P","1,12","9,8","8,5","390","387","4.83","431","5.37","196","12,0","5:00","175","13:10","5:09"
"","1","Bieg","4","3:52,0","17:08","1,00","3:52","3:57","164","173","1","2","189","207","50,5% L / 49,5% P","1,34","8,5","6,2","447","451","5.62","513","6.40","68","9,0","3:36","192","3:52,0","3:52"
"","","Regeneracja","5","1:30","18:38","0,21","7:12","6:14","151","172","0","1","161","307","50,3% L / 49,7% P","1,01","8,8","8,6","364","303","3.78","518","6.46","21","9,0","3:47","188","1:28","7:03"
"","2","Bieg","6","3:48,1","22:26","1,00","3:48","3:58","165","174","0","3","189","205","51,0% L / 49,0% P","1,36","8,4","6,0","445","453","5.65","522","6.51","67","8,0","3:36","192","3:48","3:48"
"","","Regeneracja","7","1:30","23:56","0,18","8:33","7:47","157","175","0","1","157","327","50,3% L / 49,8% P","0,81","7,9","9,6","339","244","3.04","514","6.41","23","8,0","3:43","189","1:28","8:21"
"","3","Bieg","8","3:55,8","27:52","1,00","3:56","4:00","167","175","4","1","187","210","50,7% L / 49,3% P","1,33","8,5","6,3","455","462","5.76","505","6.30","69","7,0","3:50","190","3:55,8","3:56"
"","","Regeneracja","9","1:30","29:22","0,17","8:38","7:45","156","174","1","0","155","344","49,7% L / 50,3% P","0,78","7,1","8,9","335","249","3.10","523","6.52","22","7,0","3:52","189","1:28","8:27"
"","4","Bieg","10","4:00,1","33:22","1,00","4:00","4:04","167","174","6","1","188","210","50,9% L / 49,1% P","1,30","8,3","6,3","464","471","5.87","571","7.12","70","6,0","3:48","191","4:00","4:00"
"","","Regeneracja","11","1:30","34:52","0,17","9:00","8:08","156","174","1","0","155","338","49,7% L / 50,3% P","0,78","7,2","9,0","318","231","2.88","523","6.52","22","6,0","4:06","189","1:28","8:48"
"","5","Bieg","12","3:55,8","38:48","1,00","3:56","4:02","165","173","1","3","189","209","50,9% L / 49,1% P","1,32","8,3","6,2","430","437","5.45","486","6.06","68","6,0","3:45","193","3:55,8","3:56"
"","","Regeneracja","13","1:30","40:18","0,18","8:24","7:26","157","172","0","1","155","331","49,9% L / 50,1% P","0,83","7,5","9,0","322","240","2.99","497","6.20","22","6,0","3:51","189","1:28","8:13"
"","6","Bieg","14","3:59,6","44:17","1,00","4:00","4:07","165","173","1","6","188","210","50,6% L / 49,4% P","1,31","8,4","6,3","430","436","5.44","488","6.08","69","6,0","3:50","195","3:59,6","4:00"
"","","Regeneracja","15","1:30","45:47","0,17","9:01","8:30","154","172","0","1","152","344","49,3% L / 50,7% P","0,78","6,9","8,8","294","209","2.61","473","5.90","20","6,0","4:01","182","1:28","8:49"
"","7","Bieg","16","4:04,5","49:52","1,00","4:04","4:09","163","171","4","0","186","213","50,4% L / 49,6% P","1,29","8,5","6,5","438","446","5.56","524","6.53","69","6,0","3:41","191","4:04","4:04"
"","","Regeneracja","17","1:30","51:22","0,16","9:23","8:21","154","173","0","0","151","364","49,0% L / 51,0% P","0,77","6,7","8,6","321","220","2.74","505","6.30","20","6,0","3:48","188","1:28","9:10"
"","8","Bieg","18","3:59,2","55:21","1,00","3:59","4:03","164","173","1","2","188","209","50,7% L / 49,3% P","1,32","8,4","6,2","438","445","5.55","483","6.02","69","5,0","3:51","191","3:59","3:59"
"","","Regeneracja","19","1:30","56:51","0,21","7:04","6:31","155","171","0","1","162","299","50,4% L / 49,6% P","0,96","8,9","9,1","338","299","3.73","462","5.76","21","5,0","4:01","185","1:28","6:55"
"","","Schładzanie","20 - 21","5:38,2","1:02:29","1,03","5:29","5:36","144","147","3","4","171","265","50,3% L / 49,7% P","1,05","9,4","8,8","356","357","4.45","435","5.42","76","6,0","5:05","178","5:38,2","5:29"
"","Podsumowanie","--","--","1:02:29","1:02:29","13,02","4:48","4:48","156","175","31","34","177","245","50,5% L / 49,5% P","1,16","8,6","7,5","410","390","4.86","571","7.12","992","7,7","3:36","195","1:02:17","4:47"
