"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","10:14","10:14","2,10","4:53","4:52","128","142","17","22","173","238","50,4% L / 49,6% P","1,18","9,7","8,1","389","388","4.92","501","6.35","142","18,0","3:51","198","10:07","4:50"
"","1","Bieg","4","1:21,5","11:35","0,40","3:24","3:27","151","161","2","0","197","191","49,7% L / 50,3% P","1,44","8,0","5,4","493","513","6.50","576","7.30","23","15,0","3:10","199","1:21,5","3:24"
"","","Regeneracja","5","1:15","12:50","0,15","8:15","7:30","147","162","2","0","157","327","49,6% L / 50,4% P","0,81","7,9","9,8","380","259","3.28","589","7.46","18","14,0","3:26","194","1:13","8:02"
"","2","Bieg","6","1:23,2","14:13","0,40","3:28","3:42","147","158","0","6","194","194","49,9% L / 50,1% P","1,40","8,2","6,2","435","457","5.79","549","6.95","22","14,0","3:23","198","1:23","3:28"
"","","Regeneracja","7","1:15","15:28","0,15","8:19","7:29","139","158","0","0","156","331","50,0% L / 50,0% P","0,85","7,9","9,1","321","237","3.00","503","6.37","17","13,0","3:29","189","1:13","8:06"
"","3","Bieg","8","1:21,7","16:50","0,40","3:24","3:34","150","164","2","0","197","190","49,8% L / 50,3% P","1,42","8,0","6,0","470","500","6.33","547","6.93","23","13,0","3:14","200","1:21,7","3:24"
"","","Regeneracja","9","1:15","18:05","0,15","8:31","7:38","148","163","4","0","155","339","49,4% L / 50,6% P","0,81","7,5","9,1","364","244","3.09","567","7.18","19","13,0","3:29","190","1:13","8:17"
"","4","Bieg","10","1:23,7","19:29","0,40","3:29","3:38","149","160","0","6","194","192","50,1% L / 49,9% P","1,45","8,1","5,8","434","458","5.80","535","6.78","22","12,0","3:13","198","1:23","3:28"
"","","Regeneracja","11","1:15","20:44","0,15","8:26","8:05","144","160","0","0","155","331","49,4% L / 50,6% P","0,82","7,7","9,4","312","222","2.81","488","6.18","17","12,0","3:32","192","1:13","8:12"
"","5","Bieg","12","1:24,0","22:08","0,40","3:30","3:38","151","165","2","0","195","193","49,8% L / 50,2% P","1,40","8,0","6,0","469","493","6.25","543","6.88","23","12,0","3:13","199","1:24,0","3:30"
"","","Regeneracja","13","1:15","23:23","0,15","8:35","7:33","151","165","2","0","156","337","49,3% L / 50,7% P","0,82","7,2","8,8","369","248","3.14","558","7.07","19","12,0","3:36","195","1:13","8:21"
"","6","Bieg","14","1:23,3","24:46","0,40","3:28","3:44","150","161","0","3","195","193","49,9% L / 50,1% P","1,37","8,1","6,3","429","451","5.71","536","6.79","22","12,0","3:24","198","1:23,3","3:28"
