"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Regeneracja","15","1:15","26:01","0,15","8:17","7:32","146","161","0","0","156","332","49,5% L / 50,5% P","0,86","7,6","8,9","317","232","2.94","517","6.55","17","11,0","3:30","192","1:13","8:04"
"","7","Bieg","16","1:24,5","27:26","0,40","3:31","3:35","152","164","2","0","197","192","49,8% L / 50,2% P","1,38","7,8","6,0","468","496","6.28","552","6.99","23","11,0","3:16","200","1:24","3:30"
"","","Regeneracja","17","1:15","28:41","0,14","8:58","7:43","151","165","2","0","155","347","49,5% L / 50,5% P","0,81","7,2","9,0","369","243","3.08","567","7.18","18","11,0","3:34","195","1:13","8:44"
"","8","Bieg","18","1:23,7","30:04","0,40","3:29","3:44","150","161","0","5","194","194","49,9% L / 50,1% P","1,41","8,1","6,0","430","451","5.71","534","6.76","23","11,0","3:22","197","1:23,7","3:29"
"","","Regeneracja","19","1:15","31:19","0,14","8:39","8:13","146","161","0","0","154","335","49,7% L / 50,3% P","0,79","7,7","9,5","303","218","2.76","485","6.14","17","11,0","3:30","180","1:13","8:26"
"","9","Bieg","20","1:24,3","32:44","0,40","3:31","3:39","152","164","4","1","197","192","50,2% L / 49,8% P","1,37","7,7","5,9","467","493","6.25","566","7.17","23","11,0","3:24","202","1:24","3:30"
"","","Regeneracja","21","1:15","33:59","0,14","9:04","7:59","152","165","2","0","154","361","49,6% L / 50,4% P","0,78","6,8","8,6","355","225","2.85","553","7.01","18","11,0","3:31","194","1:13","8:49"
"","10","Bieg","22","1:25,2","35:24","0,40","3:33","3:43","151","160","0","5","195","195","50,0% L / 50,0% P","1,39","8,0","6,0","439","457","5.79","548","6.94","22","11,0","3:10","199","1:25","3:33"
"","","Regeneracja","23","1:15","36:39","0,14","9:08","8:22","145","160","0","1","153","349","49,1% L / 50,9% P","0,77","7,1","9,2","311","208","2.63","494","6.26","16","11,0","3:34","180","1:13","8:54"
"","11","Bieg","24","1:23,3","38:02","0,40","3:28","3:35","152","165","4","0","198","195","49,7% L / 50,3% P","1,41","7,7","5,6","471","502","6.36","554","7.02","23","11,0","3:15","202","1:23,3","3:28"
"","","Regeneracja","25","1:15","39:17","0,13","9:28","8:32","151","165","2","0","152","367","49,0% L / 51,0% P","0,74","6,7","8,8","349","211","2.67","489","6.19","18","11,0","3:31","183","1:13","9:13"
"","12","Bieg","26","1:23,5","40:41","0,40","3:29","3:42","151","162","0","5","196","194","50,0% L / 50,0% P","1,42","7,9","5,8","430","454","5.75","563","7.13","22","11,0","3:21","200","1:23","3:28"
"","","Regeneracja","27","1:15","41:56","0,14","8:51","8:04","148","162","0","1","153","350","49,2% L / 50,8% P","0,81","7,2","8,7","320","213","2.70","515","6.52","18","11,0","3:28","190","1:13","8:37"
"","13","Bieg","28","1:23,9","43:19","0,40","3:30","3:35","152","167","2","0","197","195","49,9% L / 50,1% P","1,38","7,7","5,9","471","501","6.35","555","7.03","23","10,0","3:17","202","1:23,9","3:30"
"","","Regeneracja","29","1:15","44:34","0,13","9:25","8:32","151","168","2","0","151","379","49,5% L / 50,5% P","0,76","6,5","8,4","352","210","2.66","540","6.84","18","11,0","3:31","186","1:13","9:10"
"","14","Bieg","30","1:24,1","45:59","0,40","3:30","3:41","151","160","0","3","195","195","50,1% L / 49,9% P","1,44","8,2","6,0","444","465","5.89","607","7.69","22","11,0","3:16","198","1:24","3:30"
"","","Regeneracja","31","1:15","47:14","0,14","9:05","8:18","146","161","0","1","153","350","49,8% L / 50,2% P","0,81","7,4","9,1","312","211","2.67","509","6.45","16","10,0","3:29","191","1:13","8:51"
"","15","Bieg","32","1:22,1","48:36","0,40","3:25","3:31","152","166","2","0","199","192","50,1% L / 49,9% P","1,40","7,7","5,9","475","509","6.45","558","7.07","24","10,0","3:15","202","1:22","3:25"
"","","Regeneracja","33","1:15","49:51","0,14","9:06","7:53","151","165","2","0","154","359","49,4% L / 50,6% P","0,80","6,9","8,6","377","232","2.94","605","7.66","17","10,0","3:26","196","1:13","8:51"
"","16","Bieg","34","1:24,7","51:15","0,40","3:32","3:48","149","161","0","3","194","196","50,0% L / 50,0% P","1,40","8,1","5,9","429","446","5.65","511","6.47","23","10,0","3:19","198","1:24,7","3:32"
"","","Regeneracja","35","1:15","52:30","0,14","8:56","8:20","145","162","0","1","153","354","49,9% L / 50,1% P","0,79","7,0","8,7","300","204","2.58","503","6.37","15","10,0","3:30","183","1:13","8:42"
"","17","Bieg","36","1:24,4","53:55","0,40","3:31","3:35","151","164","2","0","198","193","50,5% L / 49,5% P","1,35","7,7","6,1","474","505","6.40","561","7.11","24","10,0","3:13","201","1:24","3:30"
"","","Regeneracja","37","1:15","55:10","0,13","9:35","8:21","150","163","2","0","151","373","49,9% L / 50,1% P","0,74","6,6","8,9","363","216","2.74","586","7.42","17","10,0","3:36","196","1:13","9:20"
"","18","Bieg","38","1:24,6","56:34","0,40","3:31","3:44","149","160","0","5","195","196","50,3% L / 49,7% P","1,42","8,1","5,9","438","458","5.80","535","6.78","23","10,0","3:10","198","1:24,6","3:31"
"","","Regeneracja","39","1:15","57:49","0,14","8:50","8:17","143","161","0","0","151","353","49,7% L / 50,3% P","0,80","7,3","8,9","302","206","2.61","512","6.49","14","10,0","3:28","176","1:13","8:36"
"","19","Bieg","40","1:22,1","59:12","0,40","3:25","3:30","153","165","4","0","200","192","50,0% L / 50,0% P","1,42","7,7","5,5","478","512","6.49","566","7.17","24","10,0","3:13","203","1:22","3:25"
"","","Regeneracja","41","1:15","1:00:27","0,13","9:33","8:08","150","166","1","0","152","368","49,6% L / 50,4% P","0,76","6,6","8,7","375","221","2.80","602","7.63","17","10,0","3:26","196","1:13","9:17"
"","20","Bieg","42","1:23,6","1:01:50","0,40","3:29","3:38","150","160","0","3","196","193","50,3% L / 49,7% P","1,43","7,9","5,8","443","464","5.88","577","7.31","24","10,0","3:11","201","1:23,6","3:29"
"","","Schładzanie","43 - 44","7:00,5","1:08:51","1,24","5:40","5:33","138","162","15","4","169","266","50,3% L / 49,7% P","1,03","9,3","8,9","368","355","4.50","479","6.07","96","9,0","3:33","188","6:59","5:39"
"","Podsumowanie","--","--","1:08:51","1:08:51","14,01","4:55","4:54","145","168","83","77","176","261","49,9% L / 50,1% P","1,13","8,1","7,6","408","366","4.64","607","7.69","1.024","11,9","3:10","203","1:08:25","4:53"
