"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:02,6","5:02,6","1,00","5:03","5:04","135","142","2","3","373","4.71","402","5.08","178","250","49,3% L / 50,7% P","1,11","8,9","7,8","73","11,0","4:47","255","5:00","5:00","--","--"
"2","4:59,8","10:02","1,00","5:00","4:58","140","145","6","2","378","4.78","422","5.33","179","252","49,4% L / 50,6% P","1,12","8,9","7,8","75","8,0","4:53","183","4:59","4:59","--","--"
"3","5:00,3","15:03","1,00","5:00","4:58","142","145","4","1","376","4.75","417","5.27","179","252","49,7% L / 50,3% P","1,11","8,8","7,7","76","6,0","4:50","188","5:00,3","5:00","--","--"
"4","5:02,1","20:05","1,00","5:02","4:58","144","149","7","1","382","4.83","460","5.81","178","251","50,2% L / 49,8% P","1,12","9,1","7,9","76","7,0","4:53","180","5:02","5:02","--","--"
"5","4:57,0","25:02","1,00","4:57","4:56","142","146","2","2","397","5.02","443","5.60","178","250","50,3% L / 49,8% P","1,14","9,1","7,8","74","7,0","4:50","181","4:57","4:57","--","--"
"6","4:59,8","30:02","1,00","5:00","5:03","143","149","0","5","409","5.17","442","5.59","178","250","50,1% L / 49,9% P","1,12","9,0","7,8","73","4,0","4:50","182","4:59,8","5:00","--","--"
"7","5:05,1","35:07","1,00","5:05","5:09","145","149","2","5","398","5.03","464","5.87","177","255","50,0% L / 50,0% P","1,11","9,1","8,0","75","4,0","4:41","191","5:05","5:05","--","--"
"8","4:58,9","40:06","1,00","4:59","5:00","143","147","1","8","414","5.23","447","5.65","177","254","50,2% L / 49,8% P","1,14","9,1","7,8","72","4,0","4:44","180","4:58,9","4:59","--","--"
"9","5:02,8","45:08","1,00","5:03","5:04","142","148","1","2","388","4.90","443","5.60","177","256","50,2% L / 49,8% P","1,12","9,0","7,9","72","3,0","4:53","179","5:02","5:02","--","--"
"10","5:06,1","50:14","1,00","5:06","5:04","145","148","4","1","380","4.80","436","5.51","177","255","50,2% L / 49,8% P","1,11","9,0","7,9","75","4,0","4:47","180","5:06","5:06","--","--"
"11","5:02,9","55:17","1,00","5:03","5:01","144","146","4","0","376","4.75","417","5.27","178","255","50,2% L / 49,8% P","1,11","8,8","7,7","73","4,0","4:57","181","5:02,9","5:03","--","--"
"12","5:07,6","1:00:25","1,00","5:08","5:04","144","148","4","0","372","4.70","418","5.28","178","257","50,1% L / 49,9% P","1,10","8,8","7,8","73","4,0","4:59","181","5:07,6","5:08","--","--"
"13","5:00,1","1:05:25","1,00","5:00","4:58","145","151","7","1","383","4.84","450","5.69","177","255","50,2% L / 49,8% P","1,13","9,1","7,9","72","5,0","4:50","179","5:00","5:00","--","--"
"14","5:01,0","1:10:26","1,00","5:01","4:59","143","147","2","1","396","5.01","443","5.60","178","255","50,2% L / 49,8% P","1,12","9,0","7,8","70","5,0","4:44","180","5:01","5:01","--","--"
"15","4:59,2","1:15:25","1,00","4:59","5:03","142","145","0","5","415","5.25","504","6.37","177","256","50,4% L / 49,6% P","1,13","9,1","7,7","70","4,0","4:39","195","4:59","4:59","--","--"
"16","4:59,6","1:20:25","1,00","5:00","5:04","143","147","0","3","407","5.14","443","5.60","178","257","50,5% L / 49,5% P","1,12","9,0","7,8","70","4,0","4:41","191","4:59,6","5:00","--","--"
"17","4:58,7","1:25:24","1,00","4:59","5:03","142","146","1","8","413","5.22","447","5.65","177","259","50,7% L / 49,3% P","1,13","9,0","7,7","70","4,0","4:49","180","4:58,7","4:59","--","--"
"18","5:02,1","1:30:26","1,00","5:02","5:02","141","146","1","4","391","4.94","439","5.55","177","262","50,6% L / 49,4% P","1,13","8,9","7,7","73","3,0","4:33","180","5:02","5:02","--","--"
"19","5:04,6","1:35:30","1,00","5:05","5:03","143","147","3","1","383","4.84","438","5.54","176","260","50,4% L / 49,6% P","1,12","9,1","7,9","73","4,0","4:59","178","5:04","5:04","--","--"
"20","5:01,6","1:40:32","1,00","5:02","4:59","142","146","4","0","381","4.82","428","5.41","178","258","50,3% L / 49,7% P","1,12","8,9","7,7","75","4,0","4:42","183","5:01,6","5:02","--","--"
"21","5:06,6","1:45:38","1,00","5:07","5:04","143","146","5","0","377","4.77","433","5.47","178","259","50,4% L / 49,6% P","1,10","8,9","7,8","74","4,0","4:54","182","5:06,6","5:07","--","--"
"22","4:58,8","1:50:37","1,00","4:59","4:56","143","147","5","1","386","4.88","432","5.46","177","256","50,4% L / 49,6% P","1,13","9,2","7,9","74","5,0","4:51","179","4:58","4:58","--","--"
"23","4:58,2","1:55:35","1,00","4:58","4:58","143","147","2","0","402","5.08","454","5.74","178","256","50,2% L / 49,8% P","1,13","9,1","7,8","75","5,0","4:52","180","4:58,2","4:58","--","--"
"24","4:55,7","2:00:31","1,00","4:56","4:53","143","147","2","2","412","5.21","492","6.22","178","255","50,2% L / 49,8% P","1,14","9,1","7,8","75","4,0","4:46","181","4:55","4:55","--","--"
"25","4:56,6","2:05:28","1,00","4:57","4:59","143","146","3","10","418","5.28","480","6.07","178","254","50,5% L / 49,5% P","1,14","9,1","7,8","71","3,0","4:50","181","4:56,6","4:57","--","--"
