"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:15,2","5:15,2","1,00","5:15","5:20","136","144","1","2","370","4.61","432","5.39","172","256","50,1% L / 49,9% P","1,10","9,6","8,4","74","14,0","4:57","178","5:12","5:12","--","--"
"2","5:14,5","10:30","1,00","5:15","5:13","142","147","5","1","385","4.80","418","5.21","173","260","49,6% L / 50,4% P","1,10","9,4","8,3","78","11,0","4:53","177","5:14","5:14","--","--"
"3","5:16,2","15:46","1,00","5:16","5:15","144","146","4","0","383","4.78","430","5.36","172","260","50,2% L / 49,8% P","1,10","9,5","8,5","79","10,0","4:54","180","5:16,2","5:16","--","--"
"4","5:27,5","21:13","1,00","5:27","5:22","144","148","4","0","375","4.68","486","6.06","171","265","50,0% L / 50,0% P","1,08","9,6","8,7","78","9,0","5:13","174","5:27","5:27","--","--"
"5","5:22,1","26:36","1,00","5:22","5:22","145","149","3","0","371","4.63","424","5.29","170","260","50,7% L / 49,3% P","1,09","9,8","8,8","77","8,0","5:05","173","5:22","5:22","--","--"
"6","5:13,4","31:49","1,00","5:13","5:17","144","149","0","6","369","4.60","415","5.17","171","255","50,4% L / 49,6% P","1,12","10,0","8,7","75","8,0","4:57","173","5:13,4","5:13","--","--"
"7","5:17,0","37:06","1,00","5:17","5:24","145","147","0","4","366","4.56","428","5.34","171","263","50,5% L / 49,5% P","1,10","9,7","8,6","76","8,0","4:48","176","5:17","5:17","--","--"
"8","5:14,5","42:20","1,00","5:14","5:16","144","148","1","5","372","4.64","403","5.03","171","265","50,6% L / 49,4% P","1,12","9,8","8,5","74","8,0","5:04","175","5:14","5:14","--","--"
"9","5:21,2","47:42","1,00","5:21","5:18","145","149","2","4","381","4.75","405","5.05","170","268","50,4% L / 49,6% P","1,11","9,7","8,6","76","8,0","5:08","173","5:21","5:21","--","--"
"10","5:21,8","53:03","1,00","5:22","5:23","145","149","3","2","372","4.64","401","5.00","171","265","50,3% L / 49,7% P","1,08","9,6","8,7","76","8,0","5:11","174","5:21,8","5:22","--","--"
"11","5:26,1","58:29","1,00","5:26","5:23","146","149","6","1","381","4.75","414","5.16","171","268","50,2% L / 49,8% P","1,08","9,6","8,7","76","7,0","5:11","173","5:26","5:26","--","--"
"12","5:19,8","1:03:49","1,00","5:20","5:20","147","149","1","0","378","4.71","403","5.03","171","266","50,3% L / 49,7% P","1,09","9,7","8,6","77","7,0","4:58","176","5:19,8","5:20","--","--"
"13","5:08,4","1:08:58","1,00","5:08","5:10","148","151","0","6","377","4.70","411","5.12","172","264","50,2% L / 49,8% P","1,13","9,7","8,3","74","7,0","5:03","177","5:08","5:08","--","--"
"14","5:15,5","1:14:13","1,00","5:15","5:16","148","151","1","3","379","4.73","412","5.14","172","263","50,1% L / 49,9% P","1,11","9,6","8,5","75","8,0","5:04","177","5:15,5","5:16","--","--"
"15","0:01,5","1:14:15","0,01","2:50","5:18","148","149","0","0","379","4.73","380","4.74","169","254","49,8% L / 50,2% P","1,08","10,1","9,0","0","8,0","5:21","169","0:01","1:50","--","--"
"Podsumowanie","1:14:15","1:14:15","14,01","5:18","5:18","144","151","32","35","376","4.69","486","6.06","171","263","50,2% L / 49,8% P","1,10","9,7","8,6","1.065","8,6","4:48","180","1:14:09","5:18","--","--"
