"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","14:41","14:41","2,76","5:19","5:20","132","150","8","6","171","247","50,8% L / 49,2% P","1,09","10,0","8,9","375","373","4.65","464","5.79","206","13,0","4:16","183","14:37","5:18"
"","1","Bieg","4","3:02,5","17:44","0,80","3:48","3:49","165","171","0","4","184","205","50,3% L / 49,7% P","1,42","9,4","6,3","472","475","5.93","529","6.60","54","10,0","3:37","187","3:02","3:48"
"","","Regeneracja","5","1:30","19:14","0,24","6:09","5:34","149","169","0","1","165","273","50,6% L / 49,4% P","1,10","10,1","9,0","389","352","4.39","499","6.23","22","10,0","3:54","183","1:28","6:00"
"","2","Bieg","6","2:58,9","22:13","0,80","3:44","3:53","163","173","1","2","186","205","50,4% L / 49,6% P","1,40","9,0","6,3","462","469","5.85","536","6.69","53","10,0","3:33","189","2:58,9","3:44"
"","","Regeneracja","7","1:30","23:43","0,22","6:56","6:02","151","172","1","2","162","293","50,1% L / 49,9% P","1,04","9,7","9,1","371","328","4.09","512","6.39","21","9,0","3:45","185","1:28","6:46"
"","3","Bieg","8","2:57,1","26:40","0,80","3:41","3:48","166","176","3","1","188","203","50,5% L / 49,5% P","1,40","8,6","6,1","481","490","6.12","536","6.69","53","9,0","3:38","192","2:57","3:41"
"","","Regeneracja","9","1:30","28:10","0,23","6:36","6:10","158","177","1","0","164","292","50,3% L / 49,7% P","0,98","9,3","9,4","376","325","4.06","550","6.86","23","9,0","3:41","189","1:28","6:27"
"","4","Bieg","10","2:59,9","31:10","0,80","3:45","3:47","167","177","5","0","190","203","50,5% L / 49,5% P","1,37","8,4","6,0","482","490","6.12","572","7.14","55","8,0","3:23","193","2:59,9","3:45"
"","","Regeneracja","11","1:30","32:40","0,20","7:33","6:49","157","177","1","1","161","316","50,1% L / 49,9% P","0,89","8,4","9,4","363","290","3.62","546","6.81","22","8,0","3:41","187","1:28","7:23"
"","5","Bieg","12","2:58,4","35:38","0,80","3:43","3:51","168","176","1","6","190","202","50,5% L / 49,5% P","1,38","8,4","6,1","460","470","5.87","537","6.70","54","8,0","3:30","194","2:58","3:43"
"","","Regeneracja","13","1:30","37:08","0,18","8:08","7:30","156","176","0","1","158","329","50,2% L / 49,8% P","0,85","8,0","9,3","338","254","3.17","536","6.69","22","8,0","3:44","189","1:28","7:57"
"","6","Bieg","14","2:56,3","40:04","0,80","3:40","3:47","168","178","0","0","192","200","50,7% L / 49,3% P","1,38","8,2","5,9","466","476","5.94","547","6.83","53","7,0","3:30","195","2:56,3","3:40"
"","","Regeneracja","15","1:30","41:34","0,18","8:10","7:22","157","176","0","0","158","329","50,0% L / 50,0% P","0,83","7,9","9,5","333","264","3.29","541","6.75","23","7,0","3:40","189","1:28","7:59"
"","","Schładzanie","16 - 17","10:35","52:09","1,79","5:55","5:51","138","144","7","7","167","268","50,3% L / 49,7% P","1,01","9,9","9,6","346","346","4.32","389","4.85","137","8,0","5:21","172","10:35","5:55"
"","Podsumowanie","--","--","52:09","52:09","10,61","4:55","4:54","149","178","31","31","175","246","50,5% L / 49,5% P","1,16","9,3","8,2","411","392","4.89","572","7.14","798","9,9","3:23","195","52:00","4:54"
