"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:03,1","5:03,1","1.000","5:03","--","137","143","0","0","398","4.93","510","6.32","174","246","50,3% L / 49,7% P","1,16","9,6","8,1","74","14,0","4:41","177","5:03,1","5:03","--","--"
"2","4:57,0","10:00","1.000","4:57","--","143","146","0","0","406","5.03","456","5.65","174","251","49,6% L / 50,4% P","1,17","9,6","8,0","75","12,0","4:49","177","4:57,0","4:57","--","--"
"3","5:01,4","15:01","1.000","5:01","--","145","148","0","0","410","5.08","460","5.70","173","256","50,0% L / 50,0% P","1,17","9,8","8,2","76","12,0","4:51","174","5:01","5:01","--","--"
"4","5:02,1","20:04","1.000","5:02","--","146","150","0","0","404","5.00","458","5.67","172","257","49,9% L / 50,1% P","1,16","9,9","8,3","76","11,0","4:58","174","5:02","5:02","--","--"
"5","5:05,9","25:09","1.000","5:06","--","147","150","0","0","401","4.97","449","5.56","171","259","50,1% L / 49,9% P","1,14","10,0","8,5","76","10,0","5:02","176","5:05,9","5:06","--","--"
"6","4:12,3","29:22","1.000","4:12","--","163","167","0","0","467","5.78","526","6.51","184","224","50,0% L / 50,0% P","1,30","9,0","6,8","73","9,0","4:01","204","4:12,3","4:12","--","--"
"7","4:16,3","33:38","1.000","4:16","--","167","171","0","0","454","5.62","520","6.44","185","227","50,0% L / 50,0% P","1,27","8,7","6,7","74","9,0","4:12","187","4:16","4:16","--","--"
"8","4:18,9","37:57","1.000","4:19","--","168","171","0","0","450","5.57","528","6.54","186","227","50,3% L / 49,7% P","1,25","8,5","6,6","76","9,0","4:13","190","4:18,9","4:19","--","--"
"9","4:12,9","42:10","1.000","4:13","--","171","175","0","0","463","5.73","532","6.59","187","224","50,5% L / 49,5% P","1,28","8,6","6,5","75","8,0","4:01","189","4:12,9","4:13","--","--"
"10","5:38,3","47:48","1.000","5:38","--","151","174","0","0","372","4.61","483","5.98","172","272","50,0% L / 50,0% P","1,07","9,2","8,4","81","9,0","4:01","186","5:38","5:38","--","--"
"11","5:36,2","53:25","1.000","5:36","--","145","150","0","0","373","4.62","427","5.29","172","271","50,0% L / 50,0% P","1,05","9,4","8,7","75","9,0","5:23","174","5:36","5:36","--","--"
"12","5:32,5","58:57","1.000","5:32","--","144","147","0","0","371","4.59","414","5.13","172","270","50,0% L / 50,0% P","1,05","9,4","8,7","74","10,0","5:14","174","5:32,5","5:32","--","--"
"13","0:01,0","58:58","10","5:32","--","146","146","0","0","418","5.18","418","5.18","172","270","49,8% L / 50,3% P","1,10","9,6","8,4","0","9,0","5:14","172","0:01","1:40","--","--"
"Podsumowanie","58:58","58:58","12.010","4:55","--","151","175","0","0","411","5.09","532","6.59","176","251","50,1% L / 49,9% P","1,16","9,3","7,9","906","10,2","4:01","204","58:57","4:54","--","--"
