"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:52,9","4:52,9","1,00","4:53","4:53","123","142","12","17","392","5.02","574","7.35","175","239","49,8% L / 50,2% P","1,18","9,5","8,1","65","20,0","3:27","182","4:52,9","4:53","--","--"
"2","4:59,1","9:52,1","1,00","4:59","4:45","140","144","21","0","419","5.37","505","6.47","177","237","49,5% L / 50,5% P","1,12","9,2","7,9","77","17,0","4:35","181","4:59","4:59","--","--"
"3","5:15,3","15:07","1,00","5:15","4:58","141","145","31","1","422","5.40","522","6.68","176","247","49,7% L / 50,3% P","1,08","9,1","8,1","80","14,0","4:46","180","5:15,3","5:15","--","--"
"4","4:25,7","19:33","1,00","4:26","4:33","139","142","6","23","394","5.05","452","5.79","177","229","50,5% L / 49,5% P","1,27","9,7","7,5","66","14,0","3:55","182","4:25","4:25","--","--"
"5","4:12,1","23:45","1,00","4:12","4:21","140","143","0","24","404","5.17","451","5.78","179","223","50,5% L / 49,5% P","1,34","9,8","7,1","64","14,0","3:56","182","4:12","4:12","--","--"
"6","4:14,2","27:59","1,00","4:14","4:27","139","143","0","25","391","5.01","435","5.57","178","226","50,3% L / 49,7% P","1,33","9,8","7,2","64","13,0","4:01","180","4:14,2","4:14","--","--"
"7","4:24,0","32:23","1,00","4:24","4:33","139","142","0","14","400","5.12","455","5.83","177","230","50,2% L / 49,8% P","1,29","9,9","7,5","65","13,0","4:12","180","4:24,0","4:24","--","--"
"8","4:23,2","36:46","1,00","4:23","4:32","138","143","0","15","400","5.12","433","5.54","178","230","50,1% L / 49,9% P","1,28","9,8","7,4","64","13,0","4:18","180","4:23","4:23","--","--"
"9","4:36,9","41:23","1,00","4:37","4:38","139","143","4","7","407","5.21","448","5.74","177","236","50,0% L / 50,0% P","1,23","9,6","7,6","68","13,0","4:12","180","4:36,9","4:37","--","--"
"10","4:57,6","46:21","1,00","4:58","4:55","140","143","11","3","405","5.19","484","6.20","176","249","49,8% L / 50,2% P","1,14","9,5","8,1","71","12,0","4:18","179","4:57","4:57","--","--"
"11","4:27,9","50:49","1,00","4:28","4:32","137","142","0","12","403","5.16","445","5.70","178","235","49,9% L / 50,1% P","1,27","9,7","7,4","64","12,0","4:15","189","4:27,9","4:28","--","--"
"12","4:52,4","55:41","1,00","4:52","4:48","139","143","7","0","406","5.20","449","5.75","177","246","49,9% L / 50,1% P","1,16","9,3","7,8","70","12,0","4:31","180","4:52,4","4:52","--","--"
"13","5:03,5","1:00:45","1,00","5:03","4:54","140","144","17","1","410","5.25","474","6.07","177","252","50,0% L / 50,0% P","1,12","9,2","8,0","72","11,0","4:50","179","5:03","5:03","--","--"
"14","5:28,2","1:06:13","1,00","5:28","5:02","140","143","30","0","407","5.21","481","6.16","175","261","50,0% L / 50,0% P","1,06","8,9","8,3","75","11,0","5:02","178","5:28","5:28","--","--"
"15","0:02,0","1:06:15","0,01","4:31","5:09","139","139","0","0","428","5.48","452","5.79","167","284","50,1% L / 49,9% P","0,92","8,5","9,0","1","11,0","6:34","169","0:01","2:19","--","--"
"Podsumowanie","1:06:15","1:06:15","14,01","4:44","4:43","138","145","139","143","405","5.19","574","7.35","177","239","50,0% L / 50,0% P","1,20","9,5","7,7","966","13,5","3:27","189","1:06:12","4:44","--","--"
