"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:46,6","4:46,6","1,00","4:47","5:00","120","131","2","30","360","4.53","434","5.46","175","237","50,4% L / 49,6% P","1,19","9,6","7,9","61","16,0","4:30","184","4:45","4:45","--","--"
"2","5:19,0","10:06","1,00","5:19","5:07","133","140","21","12","397","4.99","497","6.25","175","253","49,9% L / 50,1% P","1,09","8,9","8,0","76","13,0","4:37","178","5:19","5:19","--","--"
"3","6:25,9","16:31","1,00","6:26","5:20","140","143","66","0","414","5.21","440","5.53","172","274","49,4% L / 50,6% P","0,90","8,2","8,9","93","13,0","5:57","175","6:25,9","6:26","--","--"
"4","6:36,8","23:08","1,00","6:37","5:24","139","145","63","9","386","4.85","447","5.62","168","278","49,8% L / 50,2% P","0,87","8,2","9,3","91","12,0","4:07","179","6:36","6:36","--","--"
"5","3:40,1","26:48","1,00","3:40","4:00","139","147","0","88","326","4.10","410","5.16","182","214","50,4% L / 49,6% P","1,50","9,7","6,2","51","10,0","3:17","192","3:40,1","3:40","--","--"
"6","6:42,9","33:31","1,00","6:43","5:28","141","146","71","14","393","4.94","448","5.63","170","282","50,3% L / 49,7% P","0,89","8,0","9,0","91","10,0","3:34","182","6:42","6:42","--","--"
"7","5:45,3","39:16","1,00","5:45","5:18","139","145","40","28","386","4.85","458","5.76","171","271","50,3% L / 49,7% P","0,98","8,6","8,9","77","9,0","3:35","183","5:45,3","5:45","--","--"
"8","3:50,2","43:07","1,00","3:50","4:08","140","146","0","79","339","4.26","499","6.28","182","217","50,3% L / 49,7% P","1,45","9,6","6,4","53","8,0","3:25","186","3:50","3:50","--","--"
"9","4:06,9","47:14","1,00","4:07","4:25","141","145","0","47","373","4.69","438","5.51","180","225","50,0% L / 50,0% P","1,36","9,6","6,9","59","8,0","3:42","195","4:06,9","4:07","--","--"
"10","4:41,1","51:55","1,00","4:41","4:51","139","143","0","12","392","4.93","427","5.37","176","245","49,9% L / 50,1% P","1,21","9,4","7,6","66","8,0","4:35","180","4:41","4:41","--","--"
"11","5:02,0","56:57","1,00","5:02","4:56","142","147","7","4","399","5.02","459","5.77","174","255","49,9% L / 50,1% P","1,15","9,5","8,1","72","9,0","4:35","178","5:02,0","5:02","--","--"
"12","5:02,3","1:01:59","1,00","5:02","4:55","140","144","8","3","399","5.02","455","5.72","175","257","49,8% L / 50,2% P","1,14","9,4","8,0","71","9,0","4:35","178","5:02","5:02","--","--"
"13","5:12,8","1:07:12","1,00","5:13","5:03","141","145","14","0","398","5.01","459","5.77","174","261","50,0% L / 50,0% P","1,10","9,3","8,2","72","9,0","5:04","177","5:12,8","5:13","--","--"
"14","5:34,2","1:12:46","1,00","5:34","5:10","141","144","26","0","400","5.03","459","5.77","174","268","50,1% L / 49,9% P","1,04","9,0","8,4","75","9,0","5:10","177","5:34","5:34","--","--"
"15","1:12,6","1:13:59","0,20","5:57","5:51","140","143","8","2","381","4.79","433","5.45","171","278","50,4% L / 49,6% P","0,91","8,8","9,5","15","10,0","5:44","173","1:12","5:54","--","--"
"Podsumowanie","1:13:59","1:13:59","14,20","5:12","4:59","138","147","327","329","386","4.85","499","6.28","174","257","50,0% L / 50,0% P","1,10","9,0","8,2","1.023","10,3","3:17","195","1:13:54","5:12","--","--"
