"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:06,6","5:06,6","1,00","5:07","5:11","134","146","0","1","366","4.59","419","5.26","175","246","51,0% L / 49,0% P","1,11","9,1","7,9","71","14,0","4:30","178","5:03","5:03","--","--"
"2","5:05,0","10:12","1,00","5:05","5:04","142","147","3","0","371","4.66","405","5.08","178","248","50,3% L / 49,7% P","1,10","8,8","7,8","76","12,0","4:58","181","5:05","5:05","--","--"
"3","5:08,1","15:20","1,00","5:08","5:08","143","146","3","0","367","4.61","409","5.13","178","249","50,4% L / 49,6% P","1,09","8,9","7,9","75","11,0","4:54","180","5:08","5:08","--","--"
"4","5:13,6","20:33","1,00","5:14","5:08","145","151","8","1","372","4.67","428","5.37","177","251","50,3% L / 49,7% P","1,08","8,9","8,1","77","11,0","5:05","180","5:13,6","5:14","--","--"
"5","5:11,4","25:45","1,00","5:11","5:12","144","151","3","1","362","4.54","406","5.10","178","249","50,3% L / 49,7% P","1,08","8,8","7,9","75","10,0","5:05","181","5:11","5:11","--","--"
"6","5:10,8","30:56","1,00","5:11","5:16","144","149","0","8","362","4.54","417","5.23","178","248","50,3% L / 49,7% P","1,09","8,9","8,0","74","9,0","5:02","186","5:10,8","5:11","--","--"
"7","5:13,2","36:09","1,00","5:13","5:16","145","148","0","3","362","4.54","391","4.91","179","252","50,3% L / 49,7% P","1,08","8,7","7,9","75","9,0","4:38","186","5:13","5:13","--","--"
"8","5:09,9","41:19","1,00","5:10","5:12","146","151","1","7","364","4.57","403","5.06","179","251","50,2% L / 49,8% P","1,08","8,7","7,8","74","8,0","5:04","182","5:09,9","5:10","--","--"
"9","5:14,7","46:33","1,00","5:15","5:14","145","151","2","4","360","4.52","431","5.41","179","253","50,1% L / 49,9% P","1,08","8,7","7,8","74","8,0","5:06","181","5:14,7","5:15","--","--"
"10","5:12,4","51:46","1,00","5:12","5:12","146","150","4","1","366","4.59","443","5.56","178","254","50,1% L / 49,9% P","1,08","8,8","8,0","74","8,0","4:44","181","5:12","5:12","--","--"
"11","5:15,4","57:01","1,00","5:15","5:13","147","152","6","1","365","4.58","399","5.01","178","256","50,2% L / 49,8% P","1,07","8,7","8,0","75","9,0","4:55","180","5:15,4","5:15","--","--"
"12","5:16,1","1:02:17","1,00","5:16","5:14","147","150","4","0","362","4.54","418","5.25","179","254","50,2% L / 49,8% P","1,06","8,6","8,0","75","8,0","5:00","185","5:16","5:16","--","--"
"13","5:20,8","1:07:38","1,00","5:21","5:16","147","152","7","0","366","4.59","431","5.41","178","258","50,7% L / 49,3% P","1,05","8,7","8,0","75","9,0","4:53","180","5:20,8","5:21","--","--"
"14","5:15,8","1:12:54","1,00","5:16","5:17","146","152","1","0","362","4.54","432","5.42","179","255","50,3% L / 49,7% P","1,06","8,7","8,0","72","9,0","5:01","183","5:15","5:15","--","--"
"15","5:15,0","1:18:09","1,00","5:15","5:18","145","149","0","6","365","4.58","395","4.96","178","256","50,4% L / 49,6% P","1,07","8,8","8,0","71","8,0","4:54","183","5:15","5:15","--","--"
"16","5:14,5","1:23:23","1,00","5:14","5:19","147","153","1","6","365","4.58","407","5.11","177","257","50,5% L / 49,5% P","1,07","8,9","8,1","71","8,0","4:57","181","5:14,5","5:14","--","--"
"17","5:12,8","1:28:36","1,00","5:13","5:16","144","149","1","7","371","4.66","404","5.07","178","258","50,5% L / 49,5% P","1,08","8,9","8,0","71","8,0","5:05","180","5:12,8","5:13","--","--"
"18","5:16,5","1:33:53","1,00","5:17","5:17","145","148","1","4","364","4.57","399","5.01","177","260","50,5% L / 49,5% P","1,07","8,9","8,1","72","7,0","5:08","180","5:16","5:16","--","--"
"19","5:15,7","1:39:08","1,00","5:16","5:15","147","152","5","1","367","4.61","442","5.55","178","258","50,1% L / 49,9% P","1,07","8,8","8,0","74","7,0","4:37","180","5:15,7","5:16","--","--"
"20","5:18,9","1:44:27","1,00","5:19","5:14","148","151","3","0","367","4.61","401","5.03","177","258","50,2% L / 49,8% P","1,06","8,9","8,1","72","8,0","5:10","181","5:18,9","5:19","--","--"
"21","5:11,7","1:49:39","1,00","5:12","5:15","146","150","1","6","371","4.66","400","5.02","178","257","50,5% L / 49,5% P","1,08","8,9","8,0","71","7,0","4:55","180","5:11","5:11","--","--"
"22","5:14,1","1:54:53","1,00","5:14","5:15","145","148","2","4","366","4.59","400","5.02","178","258","50,3% L / 49,7% P","1,07","8,9","8,1","74","7,0","5:07","181","5:14,1","5:14","--","--"
"23","0:01,2","1:54:54","0,01","3:03","5:21","144","144","0","0","365","4.58","365","4.58","175","250","50,9% L / 49,1% P","1,09","9,4","8,3","0","7,0","5:16","175","0:01","2:31","--","--"
"Podsumowanie","1:54:54","1:54:54","22,01","5:13","5:14","145","153","58","60","366","4.59","443","5.56","178","254","50,3% L / 49,7% P","1,08","8,8","8,0","1.618","8,9","4:30","186","1:54:47","5:13","--","--"
