"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:00,8","5:00,8","1,00","5:01","5:04","134","144","4","3","395","4.90","430","5.33","174","245","50,0% L / 50,0% P","1,13","9,6","8,2","72","14,0","4:43","178","4:58","4:58","--","--"
"2","5:00,9","10:02","1,00","5:01","4:58","144","149","5","2","407","5.04","459","5.69","177","245","49,5% L / 50,5% P","1,13","9,3","8,1","76","12,0","4:44","179","5:00,9","5:01","--","--"
"3","4:59,1","15:01","1,00","4:59","4:58","146","153","4","0","406","5.03","452","5.60","177","244","49,8% L / 50,2% P","1,14","9,4","8,1","76","12,0","4:52","181","4:59","4:59","--","--"
"4","5:05,9","20:07","1,00","5:06","5:01","147","152","6","0","410","5.08","482","5.97","176","248","50,1% L / 49,9% P","1,12","9,4","8,3","78","12,0","4:51","177","5:05,9","5:06","--","--"
"5","5:07,0","25:14","1,00","5:07","5:06","146","150","2","0","388","4.81","436","5.40","176","248","50,0% L / 50,0% P","1,11","9,5","8,3","76","11,0","4:47","178","5:07,0","5:07","--","--"
"6","5:04,2","30:18","1,00","5:04","5:09","144","148","0","6","371","4.60","404","5.01","176","248","49,9% L / 50,1% P","1,12","9,5","8,3","73","11,0","4:43","179","5:04","5:04","--","--"
"7","5:05,7","35:24","1,00","5:06","5:08","146","151","1","5","373","4.62","426","5.28","175","250","50,3% L / 49,7% P","1,12","9,5","8,3","75","11,0","4:44","179","5:05","5:05","--","--"
"8","5:03,3","40:27","1,00","5:03","5:06","145","148","0","4","379","4.70","413","5.12","172","251","50,2% L / 49,8% P","1,14","9,7","8,3","73","11,0","4:48","179","5:03,3","5:03","--","--"
"9","5:07,1","45:34","1,00","5:07","5:07","145","150","1","2","380","4.71","414","5.13","174","252","50,2% L / 49,8% P","1,13","9,6","8,3","74","11,0","4:50","177","5:07","5:07","--","--"
"10","5:06,2","50:40","1,00","5:06","5:06","147","153","4","1","399","4.95","452","5.60","174","252","50,2% L / 49,8% P","1,13","9,7","8,4","75","10,0","4:55","192","5:06","5:06","--","--"
"11","5:11,8","55:52","1,00","5:12","5:13","147","151","5","1","401","4.97","490","6.07","174","254","50,2% L / 49,8% P","1,10","9,6","8,5","74","10,0","4:48","178","5:11,8","5:12","--","--"
"12","5:09,6","1:01:02","1,00","5:10","5:08","148","152","3","0","400","4.96","480","5.95","174","254","50,1% L / 49,9% P","1,11","9,6","8,4","76","10,0","4:42","178","5:09,6","5:10","--","--"
"13","5:11,1","1:06:13","1,00","5:11","5:11","148","152","5","0","404","5.01","450","5.58","173","256","50,2% L / 49,8% P","1,11","9,7","8,5","75","11,0","4:58","176","5:11","5:11","--","--"
"14","5:05,2","1:11:18","1,00","5:05","5:05","146","150","1","0","392","4.86","434","5.38","174","255","50,0% L / 50,0% P","1,12","9,6","8,3","72","11,0","4:47","177","5:05","5:05","--","--"
"15","5:06,7","1:16:25","1,00","5:07","5:08","146","150","0","4","375","4.65","407","5.04","173","254","50,4% L / 49,6% P","1,14","9,8","8,4","71","11,0","4:54","176","5:06,7","5:07","--","--"
"16","5:02,2","1:21:27","1,00","5:02","5:06","148","152","1","5","380","4.71","417","5.17","174","255","50,3% L / 49,8% P","1,14","9,6","8,3","72","11,0","4:38","179","5:02","5:02","--","--"
"17","5:00,8","1:26:28","1,00","5:01","5:05","147","151","1","7","378","4.69","416","5.16","175","255","50,2% L / 49,8% P","1,14","9,5","8,1","71","11,0","4:47","177","5:00,8","5:01","--","--"
"18","5:09,2","1:31:37","1,00","5:09","5:10","147","152","2","5","379","4.70","417","5.17","174","258","50,3% L / 49,7% P","1,12","9,4","8,2","72","10,0","4:51","177","5:09","5:09","--","--"
"19","5:11,0","1:36:48","1,00","5:11","5:09","149","152","4","1","393","4.87","420","5.21","174","258","50,0% L / 50,0% P","1,12","9,6","8,4","75","10,0","4:49","176","5:11,0","5:11","--","--"
"20","5:10,2","1:41:58","1,00","5:10","5:12","146","148","0","2","379","4.70","416","5.16","174","261","50,3% L / 49,7% P","1,11","9,5","8,3","74","10,0","4:57","176","5:10","5:10","--","--"
"21","0:01,0","1:41:59","0,00","3:42","5:14","144","144","0","0","374","4.64","374","4.64","173","257","50,4% L / 49,6% P","1,15","9,9","8,2","0","10,0","5:04","173","0:01,0","3:41","--","--"
"Podsumowanie","1:41:59","1:41:59","20,00","5:06","5:07","146","153","49","47","389","4.82","490","6.07","175","252","50,1% L / 49,9% P","1,12","9,5","8,3","1.482","11,0","4:38","192","1:41:54","5:06","--","--"
