"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:12,4","5:12,4","1,00","5:12","5:16","138","146","1","1","362","4.51","407","5.07","174","254","50,6% L / 49,4% P","1,10","9,0","8,0","74","17,0","4:50","180","5:09","5:09","--","--"
"2","5:13,2","10:26","1,00","5:13","5:13","146","150","2","1","368","4.59","422","5.26","175","258","50,8% L / 49,3% P","1,10","9,1","8,1","78","13,0","4:55","177","5:13","5:13","--","--"
"3","5:17,1","15:43","1,00","5:17","5:16","146","149","4","0","367","4.58","419","5.22","174","259","50,8% L / 49,2% P","1,09","9,2","8,2","79","12,0","5:10","177","5:17","5:17","--","--"
"4","5:17,5","21:00","1,00","5:17","5:13","148","151","6","0","373","4.65","433","5.40","173","253","50,8% L / 49,2% P","1,09","9,4","8,4","79","11,0","5:09","178","5:17,5","5:17","--","--"
"5","5:19,7","26:20","1,00","5:20","5:17","149","154","2","1","363","4.53","396","4.94","171","254","51,1% L / 48,9% P","1,10","9,6","8,6","79","10,0","5:11","174","5:19,7","5:20","--","--"
"6","5:18,5","31:38","1,00","5:18","5:23","146","149","0","6","360","4.49","389","4.85","171","256","51,1% L / 48,9% P","1,10","9,6","8,5","76","10,0","5:04","174","5:18","5:18","--","--"
"7","5:16,2","36:55","1,00","5:16","5:20","148","151","0","5","365","4.55","379","4.73","172","261","50,9% L / 49,1% P","1,10","9,4","8,4","77","9,0","5:08","177","5:16","5:16","--","--"
"8","5:15,7","42:10","1,00","5:16","5:19","147","149","1","6","368","4.59","406","5.06","172","263","50,9% L / 49,1% P","1,10","9,4","8,3","76","9,0","5:09","175","5:15,7","5:16","--","--"
"9","5:20,3","47:31","1,00","5:20","5:20","149","151","1","3","372","4.64","399","4.98","173","265","50,7% L / 49,3% P","1,09","9,4","8,4","78","9,0","5:09","176","5:20","5:20","--","--"
"10","5:26,1","52:57","1,00","5:26","5:25","152","157","4","0","362","4.51","392","4.89","171","268","50,3% L / 49,7% P","1,07","9,3","8,5","80","9,0","5:12","175","5:26","5:26","--","--"
"11","5:24,9","58:22","1,00","5:25","5:21","150","154","5","1","370","4.61","401","5.00","172","270","50,4% L / 49,6% P","1,07","9,2","8,4","79","10,0","5:14","175","5:24,9","5:25","--","--"
"12","5:24,3","1:03:46","1,00","5:24","5:24","150","155","3","0","361","4.50","442","5.51","172","268","50,8% L / 49,2% P","1,08","9,2","8,3","78","10,0","4:41","177","5:24,3","5:24","--","--"
"13","5:24,1","1:09:10","1,00","5:24","5:20","150","153","6","0","372","4.64","422","5.26","172","264","50,9% L / 49,1% P","1,08","9,4","8,5","79","11,0","5:12","174","5:24","5:24","--","--"
"14","5:14,8","1:14:25","1,00","5:15","5:16","150","153","2","0","370","4.61","416","5.19","172","260","51,0% L / 49,0% P","1,10","9,6","8,4","77","11,0","4:49","178","5:14,8","5:15","--","--"
"15","5:19,7","1:19:45","1,00","5:20","5:23","148","153","0","6","362","4.51","398","4.96","170","263","50,9% L / 49,1% P","1,11","9,6","8,5","74","10,0","4:44","177","5:19","5:19","--","--"
"16","5:14,2","1:24:59","1,00","5:14","5:19","148","151","0","4","370","4.61","384","4.79","172","266","50,6% L / 49,4% P","1,11","9,4","8,3","72","10,0","5:04","177","5:14,2","5:14","--","--"
"17","5:10,1","1:30:09","1,00","5:10","5:12","149","152","1","7","376","4.69","413","5.15","172","265","50,6% L / 49,4% P","1,13","9,5","8,2","71","11,0","5:01","176","5:10","5:10","--","--"
"18","5:21,5","1:35:31","1,00","5:22","5:21","147","151","1","2","372","4.64","400","4.99","171","270","50,5% L / 49,5% P","1,09","9,4","8,4","73","10,0","5:11","175","5:21","5:21","--","--"
"19","5:27,0","1:40:58","1,00","5:27","5:27","148","152","3","1","363","4.53","386","4.81","172","271","50,2% L / 49,8% P","1,07","9,3","8,5","74","11,0","5:17","175","5:27,0","5:27","--","--"
"20","5:28,1","1:46:26","1,00","5:28","5:25","148","151","3","0","366","4.56","394","4.91","172","272","50,3% L / 49,7% P","1,06","9,1","8,3","73","11,0","5:15","175","5:28","5:28","--","--"
"21","5:17,8","1:51:43","1,00","5:18","5:22","147","151","1","5","362","4.51","395","4.93","172","270","50,5% L / 49,5% P","1,10","9,2","8,2","73","11,0","5:04","174","5:17,8","5:18","--","--"
"22","5:20,9","1:57:04","1,00","5:21","5:22","148","153","0","3","367","4.58","406","5.06","172","271","50,4% L / 49,6% P","1,09","9,1","8,2","72","10,0","5:14","178","5:20,9","5:21","--","--"
"23","0:02,2","1:57:06","0,01","4:50","5:26","149","149","0","0","361","4.50","362","4.51","172","272","50,1% L / 49,9% P","1,07","9,1","8,2","0","10,0","5:18","172","0:01","2:10","--","--"
"Podsumowanie","1:57:06","1:57:06","22,01","5:19","5:20","148","157","47","53","367","4.58","442","5.51","172","264","50,7% L / 49,3% P","1,09","9,3","8,3","1.673","10,7","4:41","180","1:56:59","5:19","--","--"
