"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:32,2","4:32,2","1,00","4:32","4:50","126","139","1","31","368","4.71","427","5.47","176","230","50,9% L / 49,1% P","1,24","9,8","7,8","61","17,0","4:16","182","4:32,2","4:32","--","--"
"2","5:04,5","9:36,7","1,00","5:05","4:51","138","144","19","11","406","5.20","526","6.74","176","245","50,3% L / 49,7% P","1,13","9,2","8,0","75","15,0","4:27","180","5:04","5:04","--","--"
"3","6:27,7","16:04","1,00","6:28","5:22","142","148","68","0","404","5.17","427","5.47","172","273","49,8% L / 50,2% P","0,90","8,2","8,9","94","14,0","6:04","176","6:27,7","6:28","--","--"
"4","6:25,0","22:29","1,00","6:25","5:18","144","147","63","10","386","4.94","448","5.74","170","277","50,1% L / 49,9% P","0,89","8,1","9,1","91","13,0","3:52","184","6:25","6:25","--","--"
"5","3:35,6","26:05","1,00","3:36","3:58","142","147","0","87","330","4.23","412","5.28","182","212","50,5% L / 49,5% P","1,53","9,7","6,2","52","11,0","3:16","190","3:35","3:35","--","--"
"6","6:41,5","32:46","1,00","6:41","5:25","143","147","71","13","386","4.94","480","6.15","169","284","49,9% L / 50,1% P","0,90","7,9","8,8","93","12,0","3:27","182","6:41,5","6:41","--","--"
"7","5:31,4","38:18","1,00","5:31","5:03","142","148","39","29","388","4.97","443","5.67","172","266","50,5% L / 49,5% P","1,02","8,8","8,8","77","12,0","3:11","197","5:31","5:31","--","--"
"8","3:49,5","42:07","1,00","3:50","4:09","140","146","0","78","341","4.37","438","5.61","181","218","50,9% L / 49,1% P","1,46","9,7","6,4","52","11,0","3:20","186","3:49,5","3:49","--","--"
"9","4:09,3","46:17","1,00","4:09","4:23","141","146","0","47","368","4.71","413","5.29","180","223","50,5% L / 49,5% P","1,35","9,5","6,8","59","10,0","3:42","183","4:09","4:09","--","--"
"10","4:38,0","50:55","1,00","4:38","4:48","140","143","0","13","380","4.87","408","5.23","177","235","50,3% L / 49,8% P","1,21","9,4","7,6","65","11,0","4:31","180","4:38","4:38","--","--"
"11","5:14,1","56:09","1,00","5:14","5:04","141","144","11","0","386","4.94","434","5.56","176","257","50,0% L / 50,0% P","1,10","9,2","8,1","73","11,0","4:33","178","5:14","5:14","--","--"
"12","4:47,2","1:00:56","1,00","4:47","4:53","139","143","0","11","381","4.88","416","5.33","177","242","49,9% L / 50,1% P","1,18","9,4","7,8","66","10,0","4:35","180","4:47","4:47","--","--"
"13","5:13,8","1:06:10","1,00","5:14","5:09","140","143","9","0","379","4.85","427","5.47","175","256","49,9% L / 50,1% P","1,09","9,2","8,3","72","10,0","4:44","179","5:13,8","5:14","--","--"
"14","5:22,8","1:11:33","1,00","5:23","5:12","140","145","17","0","385","4.93","436","5.58","174","261","49,9% L / 50,1% P","1,07","9,2","8,4","72","10,0","5:05","177","5:22,8","5:23","--","--"
"15","5:50,5","1:17:23","1,00","5:51","5:24","140","145","30","0","382","4.89","442","5.66","172","271","49,9% L / 50,1% P","1,00","8,8","8,7","76","10,0","5:15","178","5:50","5:50","--","--"
"16","0:01,1","1:17:24","0,01","2:53","5:58","138","138","0","1","331","4.24","336","4.30","173","256","50,0% L / 50,0% P","1,00","9,6","9,7","0","10,0","5:57","173","0:01","2:32","--","--"
"Podsumowanie","1:17:24","1:17:24","15,01","5:10","4:57","140","148","329","331","381","4.88","526","6.74","175","254","50,2% L / 49,8% P","1,10","9,0","8,1","1.079","11,9","3:11","197","1:17:21","5:09","--","--"
