"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","12:41","12:41","2,50","5:05","5:04","136","146","7","5","174","245","50,6% L / 49,4% P","1,13","9,8","8,5","386","383","4.74","453","5.60","184","14,0","4:38","177","12:39","5:04"
"","1","Bieg","4","3:50,3","16:32","1,00","3:50","3:57","162","168","0","5","186","208","50,5% L / 49,5% P","1,38","9,1","6,4","487","492","6.08","516","6.38","67","11,0","3:46","188","3:50,3","3:50"
"","","Regeneracja","5","1:30","18:02","0,22","6:58","5:54","149","167","0","1","161","302","49,8% L / 50,2% P","1,03","9,2","8,8","401","340","4.20","551","6.81","21","10,0","3:51","188","1:28","6:49"
"","2","Bieg","6","3:48,3","21:50","1,00","3:48","3:55","164","171","2","3","187","207","50,5% L / 49,5% P","1,39","9,0","6,3","480","486","6.01","576","7.12","68","10,0","3:33","191","3:48","3:48"
"","","Regeneracja","7","1:30","23:20","0,21","7:11","6:49","151","171","0","0","161","303","49,7% L / 50,3% P","0,90","9,2","10,1","357","300","3.71","544","6.73","22","9,0","3:55","187","1:28","7:02"
"","3","Bieg","8","3:48,8","27:09","1,00","3:49","3:51","167","174","4","0","188","207","50,4% L / 49,6% P","1,38","8,8","6,3","468","474","5.86","548","6.78","68","9,0","3:38","191","3:48,8","3:49"
"","","Regeneracja","9","1:30","28:39","0,19","7:53","6:34","154","173","2","0","158","331","49,5% L / 50,5% P","0,95","7,8","8,1","354","288","3.56","529","6.54","22","9,0","3:52","190","1:28","7:43"
"","4","Bieg","10","3:49,9","32:29","1,00","3:50","3:55","168","176","4","1","190","207","50,4% L / 49,6% P","1,34","8,5","6,2","455","463","5.73","521","6.44","69","9,0","3:42","194","3:49,9","3:50"
"","","Regeneracja","11","1:30","33:59","0,18","8:24","7:47","157","175","1","1","157","327","49,5% L / 50,5% P","0,82","7,7","9,5","319","242","2.99","501","6.20","23","9,0","3:54","188","1:28","8:13"
"","5","Bieg","12","3:51,9","37:50","1,00","3:52","3:57","168","176","1","5","189","208","50,7% L / 49,3% P","1,36","8,6","6,2","481","490","6.06","584","7.22","69","8,0","3:24","194","3:51,9","3:52"
"","","Regeneracja","13","1:30","39:20","0,17","8:40","8:02","157","178","0","1","153","360","49,6% L / 50,4% P","0,82","6,9","8,3","348","230","2.84","574","7.10","22","7,0","3:45","188","1:28","8:28"
"","6","Bieg","14","3:51,0","43:11","1,00","3:51","3:58","169","177","0","2","190","207","50,6% L / 49,4% P","1,34","8,4","6,1","473","478","5.91","579","7.16","68","7,0","3:36","194","3:51","3:51"
"","","Schładzanie","15 - 18","15:02","58:13","2,54","5:55","5:53","144","177","7","7","166","278","50,5% L / 49,5% P","1,02","9,6","9,3","350","343","4.24","520","6.43","195","8,0","3:53","192","15:00","5:55"
"","Podsumowanie","--","--","58:13","58:13","12,00","4:51","4:51","152","178","29","32","176","249","50,4% L / 49,6% P","1,16","9,1","7,9","420","398","4.92","584","7.22","898","9,8","3:24","194","58:04","4:50"
