"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:25,6","5:25,6","1,00","5:26","5:26","133","138","4","4","364","4.51","416","5.15","174","263","50,4% L / 49,6% P","1,05","9,1","8,5","75","21,0","5:12","177","5:25,6","5:26","--","--"
"2","5:45,6","11:11","1,00","5:46","5:41","134","139","6","0","344","4.26","378","4.68","175","270","50,2% L / 49,8% P","1,00","8,7","8,5","79","17,0","5:31","177","5:45,6","5:46","--","--"
"3","5:52,9","17:04","1,00","5:53","5:55","132","138","4","4","338","4.19","365","4.52","172","273","50,2% L / 49,8% P","0,99","9,0","9,0","78","16,0","5:39","175","5:52,9","5:53","--","--"
"4","5:53,3","22:57","1,00","5:53","5:59","132","136","1","7","344","4.26","366","4.53","171","272","50,0% L / 50,0% P","0,99","9,3","9,2","75","15,0","5:44","174","5:53","5:53","--","--"
"5","5:50,5","28:48","1,00","5:51","5:51","135","141","1","4","351","4.35","383","4.74","171","271","50,5% L / 49,5% P","1,00","9,4","9,1","78","13,0","5:36","185","5:50","5:50","--","--"
"6","6:08,5","34:56","1,00","6:08","6:04","136","141","7","0","335","4.15","410","5.08","171","274","50,4% L / 49,6% P","0,96","9,2","9,4","80","13,0","5:56","175","6:08,5","6:08","--","--"
"7","6:06,8","41:03","1,00","6:07","6:07","136","139","4","3","338","4.19","365","4.52","171","274","50,2% L / 49,8% P","0,96","9,3","9,6","77","13,0","5:49","174","6:06,8","6:07","--","--"
"8","5:51,2","46:54","1,00","5:51","5:58","134","140","1","9","348","4.31","387","4.79","172","270","50,4% L / 49,6% P","1,00","9,4","9,3","73","12,0","5:38","175","5:51","5:51","--","--"
"9","0:01,4","46:56","0,00","4:59","6:09","133","133","0","0","337","4.17","337","4.17","171","264","50,8% L / 49,2% P","0,99","9,6","9,4","0","12,0","5:54","171","0:01","3:41","--","--"
"Podsumowanie","46:56","46:56","8,00","5:52","5:52","134","141","28","32","345","4.27","416","5.15","172","271","50,3% L / 49,7% P","0,99","9,2","9,1","616","14,9","5:12","185","46:54","5:52","--","--"
