"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:37,1","5:37,1","1,00","5:37","5:24","124","134","22","2","370","4.76","481","6.18","172","255","50,6% L / 49,4% P","1,03","9,3","8,9","73","19,0","4:48","178","5:37","5:37","--","--"
"2","5:12,2","10:49","1,00","5:12","5:08","128","132","4","9","359","4.62","461","5.93","175","248","50,2% L / 49,8% P","1,10","9,2","8,2","71","16,0","3:59","183","5:12,2","5:12","--","--"
"3","5:32,0","16:21","1,00","5:32","5:23","128","131","14","0","358","4.60","427","5.49","174","256","50,3% L / 49,7% P","1,04","9,1","8,5","73","15,0","5:18","176","5:32,0","5:32","--","--"
"4","5:40,9","22:02","1,00","5:41","5:27","128","132","17","0","359","4.62","400","5.14","174","257","50,2% L / 49,8% P","1,02","9,1","8,7","73","14,0","5:27","178","5:40","5:40","--","--"
"5","5:01,4","27:04","1,00","5:01","5:13","125","131","0","17","346","4.45","384","4.94","176","240","49,9% L / 50,1% P","1,12","9,5","8,2","63","13,0","4:52","180","5:01,4","5:01","--","--"
"6","5:06,8","32:10","1,00","5:07","5:15","126","132","0","14","344","4.42","378","4.86","176","242","50,1% L / 49,9% P","1,11","9,4","8,2","64","12,0","4:58","178","5:06,8","5:07","--","--"
"7","5:28,8","37:39","1,00","5:29","5:29","126","132","6","7","343","4.41","475","6.11","174","252","50,1% L / 49,9% P","1,05","9,3","8,6","68","11,0","5:03","178","5:28","5:28","--","--"
"8","5:08,0","42:47","1,00","5:08","5:17","125","130","3","23","340","4.37","397","5.10","174","243","50,2% L / 49,8% P","1,13","9,7","8,4","62","10,0","4:35","177","5:08,0","5:08","--","--"
"9","0:01,2","42:48","0,01","2:54","5:05","124","124","0","0","378","4.86","380","4.89","172","251","50,8% L / 49,2% P","1,16","10,0","8,5","0","10,0","5:00","172","0:01","2:25","--","--"
"Podsumowanie","42:48","42:48","8,01","5:21","5:20","126","134","68","72","353","4.54","481","6.18","174","249","50,2% L / 49,8% P","1,07","9,3","8,5","548","13,8","3:59","183","42:46","5:21","--","--"
