"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 7","34:39","34:39","6,01","5:46","5:50","131","138","23","58","173","262","50,3% L / 49,7% P","1,00","9,4","9,2","342","342","4.24","442","5.48","457","9,0","5:13","179","34:35","5:45"
"","1","Bieg","8","0:15","34:54","0,07","3:32","5:30","141","148","0","0","192","194","50,1% L / 49,9% P","1,19","8,6","8,1","364","425","5.27","558","6.92","4","7,0","3:23","198","0:14","3:18"
"","","Regeneracja","9","1:30","36:24","0,23","6:31","6:05","143","155","3","0","170","277","50,0% L / 50,0% P","0,96","9,1","9,5","369","342","4.24","580","7.19","20","7,0","3:21","198","1:29","6:27"
"","2","Bieg","10","0:15","36:39","0,08","3:18","4:15","138","147","0","0","189","195","49,9% L / 50,1% P","1,26","9,0","8,3","379","509","6.31","604","7.49","4","7,0","3:14","194","0:14","3:04"
"","","Regeneracja","11","1:30","38:09","0,22","6:44","5:57","143","157","5","0","168","283","49,8% L / 50,2% P","0,94","9,1","9,6","390","352","4.36","600","7.44","21","7,0","3:17","194","1:29","6:40"
"","3","Bieg","12","0:15","38:24","0,07","3:23","4:34","138","147","0","0","188","202","50,5% L / 49,5% P","1,18","9,1","8,7","375","496","6.15","597","7.40","3","7,0","3:18","196","0:14","3:10"
"","","Regeneracja","13","1:30","39:54","0,23","6:29","5:50","145","157","4","0","168","279","50,2% L / 49,8% P","0,97","9,4","9,6","396","356","4.41","620","7.68","21","7,0","3:16","197","1:29","6:25"
"","4","Bieg","14","0:15","40:09","0,08","3:17","4:35","139","144","0","0","187","203","50,0% L / 50,0% P","1,17","8,9","8,6","361","471","5.84","569","7.05","3","7,0","3:20","195","0:14","3:04"
"","","Regeneracja","15","1:30","41:39","0,22","6:47","6:05","142","155","4","0","166","287","49,9% L / 50,1% P","0,94","9,3","9,9","376","350","4.34","588","7.29","20","7,0","3:09","195","1:29","6:42"
"","5","Bieg","16","0:15","41:54","0,08","3:19","4:30","140","147","0","0","187","207","50,1% L / 49,9% P","1,15","9,2","9,0","380","518","6.42","626","7.76","3","7,0","3:23","194","0:14","3:05"
"","","Regeneracja","17","1:30","43:24","0,23","6:39","6:02","146","159","4","0","166","285","50,2% L / 49,8% P","0,96","9,5","9,9","404","359","4.45","647","8.02","21","7,0","3:10","195","1:29","6:35"
"","6","Bieg","18","0:15","43:39","0,07","3:28","4:32","141","148","0","0","187","205","50,2% L / 49,8% P","1,12","9,1","8,7","368","466","5.78","583","7.23","4","7,0","3:27","195","0:14","3:14"
"","","Regeneracja","19","1:30","45:09","0,23","6:28","5:56","144","155","6","0","168","278","50,2% L / 49,8% P","0,96","9,5","9,7","379","357","4.42","527","6.53","21","7,0","3:49","196","1:29","6:23"
"","","Schładzanie","20","1:12,9","46:21","0,19","6:22","6:10","133","137","4","0","167","283","50,1% L / 49,9% P","0,92","9,4","10,1","359","358","4.44","383","4.75","15","7,0","6:24","169","1:12,9","6:22"
"","Podsumowanie","--","--","46:21","46:21","8,01","5:47","5:49","134","159","53","59","172","264","50,3% L / 49,7% P","1,00","9,4","9,3","354","349","4.33","647","8.02","618","8,8","3:09","198","46:19","5:47"
