"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:55,3","4:55,3","1,00","4:55","4:54","132","140","0","1","386","4.87","429","5.41","175","248","50,0% L / 50,0% P","1,16","9,5","8,0","70","18,0","4:33","180","4:55,3","4:55","--","--"
"2","4:49,1","9:44,4","1,00","4:49","4:49","139","143","5","1","394","4.97","443","5.59","178","244","49,5% L / 50,5% P","1,16","9,4","7,8","73","15,0","4:39","181","4:49","4:49","--","--"
"3","4:52,9","14:37","1,00","4:53","4:50","141","144","5","1","392","4.94","473","5.97","178","245","49,7% L / 50,3% P","1,15","9,2","7,8","74","14,0","4:25","181","4:52,9","4:53","--","--"
"4","4:56,8","19:34","1,00","4:57","4:52","142","145","6","0","396","4.99","463","5.84","177","247","49,9% L / 50,1% P","1,14","9,4","8,0","74","14,0","4:49","180","4:56,8","4:57","--","--"
"5","4:55,5","24:30","1,00","4:56","4:55","141","146","1","0","391","4.93","454","5.73","176","248","49,8% L / 50,2% P","1,15","9,2","7,8","73","13,0","4:44","181","4:55","4:55","--","--"
"6","4:48,5","29:18","1,00","4:49","4:57","141","144","0","6","394","4.97","430","5.42","177","248","50,0% L / 50,0% P","1,17","9,4","7,8","70","11,0","4:38","179","4:48,5","4:48","--","--"
"7","4:51,7","34:10","1,00","4:52","4:55","143","147","0","4","396","4.99","426","5.37","176","247","50,2% L / 49,8% P","1,17","9,5","7,9","71","11,0","4:33","191","4:51","4:51","--","--"
"8","4:55,7","39:05","1,00","4:56","4:58","140","147","1","7","393","4.96","424","5.35","176","252","49,9% L / 50,1% P","1,16","9,4","7,9","70","11,0","4:41","177","4:55,7","4:56","--","--"
"9","4:57,8","44:03","1,00","4:58","4:58","141","145","1","3","387","4.88","438","5.52","175","253","50,1% L / 49,9% P","1,16","9,4","8,0","70","11,0","4:36","178","4:57,8","4:58","--","--"
"10","4:56,6","49:00","1,00","4:57","4:56","142","147","2","0","390","4.92","450","5.68","174","251","50,4% L / 49,6% P","1,16","9,5","8,0","71","11,0","4:38","177","4:56","4:56","--","--"
"11","4:59,7","54:00","1,00","5:00","4:56","143","148","7","1","390","4.92","465","5.86","174","253","50,3% L / 49,8% P","1,15","9,5","8,1","71","11,0","4:30","176","4:59,7","5:00","--","--"
"12","4:58,7","58:58","1,00","4:59","5:01","141","145","3","0","383","4.83","453","5.71","175","252","50,3% L / 49,7% P","1,14","9,5","8,1","69","11,0","4:45","178","4:58,7","4:59","--","--"
"13","4:59,7","1:03:58","1,00","5:00","4:56","143","148","7","0","396","4.99","447","5.64","174","254","50,2% L / 49,8% P","1,15","9,7","8,2","70","12,0","4:53","179","4:59,7","5:00","--","--"
"14","4:59,1","1:08:57","1,00","4:59","4:57","141","145","1","0","392","4.94","438","5.52","176","255","50,0% L / 50,0% P","1,14","9,4","8,1","69","12,0","4:47","180","4:59","4:59","--","--"
"15","4:55,4","1:13:53","1,00","4:55","5:00","140","145","0","6","394","4.97","418","5.27","175","253","50,1% L / 49,9% P","1,16","9,5","8,0","68","11,0","4:43","178","4:55","4:55","--","--"
"16","4:55,3","1:18:48","1,00","4:55","4:59","142","146","0","3","397","5.01","442","5.57","174","254","50,4% L / 49,6% P","1,17","9,6","8,0","69","11,0","4:40","177","4:55,3","4:55","--","--"
"17","4:52,5","1:23:40","1,00","4:52","4:57","142","146","0","6","399","5.03","444","5.60","175","255","50,4% L / 49,6% P","1,17","9,5","7,9","69","11,0","4:40","177","4:52","4:52","--","--"
"18","5:01,3","1:28:42","1,00","5:01","5:00","141","144","1","4","387","4.88","415","5.23","175","258","50,2% L / 49,8% P","1,15","9,3","7,9","72","10,0","4:52","181","5:01","5:01","--","--"
"19","0:01,4","1:28:43","0,01","3:08","5:14","137","137","0","0","374","4.72","376","4.74","174","257","50,4% L / 49,6% P","1,08","9,5","8,5","0","10,0","5:13","174","0:01","2:17","--","--"
"Podsumowanie","1:28:43","1:28:43","18,01","4:56","4:56","141","148","41","45","392","4.94","473","5.97","176","251","50,1% L / 49,9% P","1,16","9,4","8,0","1.273","12,1","4:25","191","1:28:39","4:55","--","--"
