"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:54,1","4:54,1","1,00","4:54","4:58","132","139","2","2","389","4.96","441","5.63","176","244","49,7% L / 50,3% P","1,16","9,6","8,0","69","17,0","4:38","180","4:51","4:51","--","--"
"2","4:49,3","9:43,4","1,00","4:49","4:50","141","144","4","1","398","5.08","461","5.88","178","245","49,0% L / 51,0% P","1,16","9,3","7,8","73","14,0","4:22","179","4:49","4:49","--","--"
"3","4:54,7","14:38","1,00","4:55","4:53","142","146","5","1","395","5.04","438","5.59","176","247","49,4% L / 50,6% P","1,15","9,4","8,0","74","14,0","4:29","180","4:54,7","4:55","--","--"
"4","4:58,5","19:37","1,00","4:59","4:54","143","146","5","0","396","5.05","457","5.83","176","248","49,6% L / 50,4% P","1,15","9,5","8,0","74","14,0","4:47","178","4:58","4:58","--","--"
"5","4:54,0","24:31","1,00","4:54","4:52","143","147","2","0","387","4.94","480","6.13","176","245","49,7% L / 50,3% P","1,16","9,5","7,9","74","13,0","4:44","192","4:54,0","4:54","--","--"
"6","4:52,0","29:23","1,00","4:52","4:55","143","146","0","6","374","4.77","401","5.12","176","244","49,7% L / 50,3% P","1,17","9,5","7,9","72","12,0","4:41","181","4:52,0","4:52","--","--"
"7","4:54,7","34:17","1,00","4:55","4:58","144","149","0","5","374","4.77","406","5.18","175","246","50,1% L / 49,9% P","1,16","9,5","8,0","73","12,0","4:41","182","4:54,7","4:55","--","--"
"8","4:52,7","39:10","1,00","4:53","4:56","144","147","1","6","374","4.77","402","5.13","175","247","49,9% L / 50,1% P","1,18","9,5","7,9","71","11,0","4:47","178","4:52,7","4:53","--","--"
"9","4:54,5","44:04","1,00","4:54","4:56","143","146","1","3","379","4.84","412","5.26","175","249","49,8% L / 50,2% P","1,16","9,4","7,9","71","12,0","4:42","178","4:54","4:54","--","--"
"10","5:00,1","49:04","1,00","5:00","4:56","144","149","5","2","388","4.95","434","5.54","175","250","49,8% L / 50,2% P","1,16","9,5","8,1","73","12,0","4:38","177","5:00","5:00","--","--"
"11","4:56,9","54:01","1,00","4:57","4:55","143","149","4","0","395","5.04","433","5.53","175","250","49,6% L / 50,4% P","1,15","9,4","8,0","71","12,0","4:41","178","4:56,9","4:57","--","--"
"12","4:55,2","58:57","1,00","4:55","4:55","145","149","5","1","394","5.03","446","5.69","176","249","49,6% L / 50,4% P","1,15","9,4","7,9","71","12,0","4:46","180","4:55","4:55","--","--"
"13","5:00,4","1:03:57","1,00","5:00","4:57","144","149","5","0","393","5.02","455","5.81","176","251","49,8% L / 50,3% P","1,13","9,3","8,0","71","12,0","4:46","180","5:00,4","5:00","--","--"
"14","4:56,5","1:08:53","1,00","4:56","4:56","143","146","3","0","384","4.90","445","5.68","177","249","49,7% L / 50,3% P","1,14","9,2","7,9","70","11,0","4:41","186","4:56","4:56","--","--"
"15","4:53,3","1:13:47","1,00","4:53","4:57","142","145","0","6","374","4.77","405","5.17","177","247","49,5% L / 50,5% P","1,16","9,4","7,9","68","11,0","4:43","179","4:53","4:53","--","--"
"16","4:54,2","1:18:41","1,00","4:54","4:56","143","146","1","5","378","4.82","486","6.20","176","250","49,9% L / 50,1% P","1,16","9,5","7,9","69","11,0","4:16","191","4:54,2","4:54","--","--"
"17","4:52,2","1:23:33","1,00","4:52","4:54","143","147","1","6","381","4.86","418","5.34","176","251","49,8% L / 50,3% P","1,17","9,4","7,9","71","12,0","4:44","179","4:52","4:52","--","--"
"18","4:54,2","1:28:27","1,00","4:54","4:58","143","145","1","4","379","4.84","431","5.50","176","252","49,8% L / 50,2% P","1,15","9,3","7,9","70","11,0","4:39","179","4:54","4:54","--","--"
"19","4:58,2","1:33:25","1,00","4:58","4:56","145","149","3","1","390","4.98","442","5.64","175","253","49,8% L / 50,2% P","1,15","9,4","8,0","73","12,0","4:38","178","4:58","4:58","--","--"
"20","4:58,8","1:38:24","1,00","4:59","4:57","145","148","3","0","395","5.04","458","5.85","176","253","49,7% L / 50,3% P","1,14","9,3","7,9","71","12,0","4:42","180","4:58,8","4:59","--","--"
"21","5:01,5","1:43:26","1,00","5:01","5:00","145","150","4","0","389","4.96","428","5.46","177","254","49,9% L / 50,1% P","1,13","9,2","8,0","71","12,0","4:56","181","5:01","5:01","--","--"
"22","5:00,8","1:48:27","1,00","5:01","4:57","145","149","5","0","397","5.07","454","5.79","177","252","49,9% L / 50,1% P","1,13","9,3","8,0","71","11,0","4:52","180","5:00,8","5:01","--","--"
"23","5:01,7","1:53:28","1,00","5:02","5:01","144","147","3","0","381","4.86","428","5.46","177","255","49,9% L / 50,1% P","1,13","9,3","8,0","72","11,0","4:58","182","5:01,7","5:02","--","--"
