"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:06,5","5:06,5","1,00","5:06","5:07","135","143","4","6","397","4.92","463","5.73","175","248","50,4% L / 49,6% P","1,11","9,4","8,4","74","17,0","4:44","185","5:06,5","5:07","--","--"
"2","5:05,7","10:12","1,00","5:06","5:03","143","147","6","4","429","5.31","503","6.23","177","250","50,0% L / 50,0% P","1,11","9,3","8,1","77","15,0","4:44","179","5:05","5:05","--","--"
"3","5:06,9","15:19","1,00","5:07","5:06","144","148","6","2","416","5.15","455","5.63","178","249","50,3% L / 49,7% P","1,10","9,2","8,2","77","14,0","4:59","182","5:06,9","5:07","--","--"
"4","5:09,6","20:29","1,00","5:10","5:06","145","150","6","1","425","5.26","477","5.91","177","250","50,2% L / 49,8% P","1,09","9,2","8,2","78","13,0","4:59","181","5:09,6","5:10","--","--"
"5","5:07,9","25:37","1,00","5:08","5:06","145","148","2","0","396","4.90","453","5.61","176","253","50,3% L / 49,7% P","1,10","9,3","8,2","76","13,0","4:59","179","5:07,9","5:08","--","--"
"6","5:03,2","30:40","1,00","5:03","5:05","144","148","0","5","371","4.59","396","4.90","177","250","50,5% L / 49,5% P","1,12","9,4","8,1","74","13,0","4:54","180","5:03","5:03","--","--"
"7","5:07,3","35:47","1,00","5:07","5:12","146","152","0","3","366","4.53","402","4.98","176","253","50,5% L / 49,5% P","1,11","9,4","8,2","75","13,0","4:56","181","5:07","5:07","--","--"
"8","5:07,7","40:55","1,00","5:08","5:10","145","149","0","6","366","4.53","401","4.97","175","253","50,7% L / 49,3% P","1,12","9,4","8,2","74","13,0","4:52","181","5:07,7","5:08","--","--"
"9","5:12,4","46:07","1,00","5:12","5:11","145","151","1","2","372","4.61","402","4.98","175","255","50,5% L / 49,5% P","1,10","9,4","8,3","75","13,0","4:44","185","5:12","5:12","--","--"
"10","5:18,5","51:26","1,00","5:18","5:17","146","149","5","4","395","4.89","436","5.40","174","257","50,8% L / 49,2% P","1,08","9,4","8,5","77","13,0","4:59","177","5:18,5","5:18","--","--"
"11","5:19,2","56:45","1,00","5:19","5:19","145","148","4","3","387","4.79","454","5.62","174","258","50,8% L / 49,2% P","1,09","9,4","8,5","75","13,0","5:06","176","5:19","5:19","--","--"
"12","5:11,6","1:01:56","1,00","5:12","5:13","145","149","1","2","374","4.63","407","5.04","174","257","50,6% L / 49,4% P","1,10","9,5","8,4","72","13,0","4:54","178","5:11,6","5:12","--","--"
"13","0:01,5","1:01:58","0,01","3:09","5:07","145","145","0","0","378","4.68","380","4.71","173","250","50,9% L / 49,1% P","1,18","9,9","8,2","0","13,0","4:59","173","0:01","2:04","--","--"
"Podsumowanie","1:01:58","1:01:58","12,01","5:10","5:10","144","152","36","38","391","4.84","503","6.23","176","253","50,5% L / 49,5% P","1,10","9,4","8,3","905","13,6","4:44","185","1:01:56","5:09","--","--"
