"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:09,0","5:09,0","1,00","5:09","5:26","120","133","1","33","325","4.12","362","4.59","174","244","52,0% L / 48,0% P","1,11","9,4","8,3","64","17,0","4:44","178","5:09,0","5:09","--","--"
"2","5:17,7","10:27","1,00","5:18","5:30","128","134","0","17","332","4.21","408","5.17","176","251","51,6% L / 48,4% P","1,07","9,0","8,2","71","13,0","5:09","179","5:17,7","5:18","--","--"
"3","5:26,9","15:54","1,00","5:27","5:32","128","134","0","10","334","4.23","363","4.60","175","256","51,2% L / 48,8% P","1,05","8,9","8,3","71","11,0","5:12","178","5:26,9","5:27","--","--"
"4","5:53,9","21:48","1,00","5:54","5:46","128","134","8","0","337","4.27","392","4.97","173","267","50,5% L / 49,5% P","0,99","8,9","8,8","77","10,0","5:23","176","5:53,9","5:54","--","--"
"5","5:30,9","27:18","1,00","5:31","5:37","127","131","1","11","331","4.20","366","4.64","175","257","51,0% L / 49,0% P","1,04","9,0","8,4","70","9,0","5:22","179","5:30,9","5:31","--","--"
"6","5:58,4","33:17","1,00","5:58","5:51","129","133","10","0","335","4.25","377","4.78","173","270","50,1% L / 49,9% P","0,97","8,8","8,9","76","8,0","5:32","176","5:58","5:58","--","--"
"7","6:05,8","39:23","1,00","6:06","5:52","129","133","17","0","341","4.32","389","4.93","173","272","50,1% L / 49,9% P","0,95","8,7","8,9","76","8,0","5:52","174","6:05,8","6:06","--","--"
"8","6:21,9","45:44","1,00","6:22","5:56","127","134","28","0","348","4.41","442","5.60","170","275","49,9% L / 50,1% P","0,93","8,7","9,2","76","10,0","4:54","176","6:20","6:20","--","--"
"9","0:01,3","45:46","0,01","3:05","7:18","130","130","0","1","279","3.54","283","3.59","167","258","50,9% L / 49,1% P","0,88","9,6","11,0","0","12,0","7:27","167","0:01","2:27","--","--"
"Podsumowanie","45:46","45:46","8,01","5:43","5:42","127","134","66","71","336","4.26","442","5.60","173","262","50,7% L / 49,3% P","1,01","8,9","8,6","581","10,6","4:44","179","45:43","5:43","--","--"
