"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:07,8","5:07,8","1,00","5:08","5:17","143","159","3","9","377","4.67","472","5.85","174","248","50,8% L / 49,3% P","1,12","9,1","7,9","75","16,0","4:44","178","5:06","5:06","--","--"
"2","5:10,6","10:18","1,00","5:11","5:12","144","148","5","6","407","5.04","505","6.25","176","255","50,2% L / 49,8% P","1,10","8,8","7,8","77","10,0","4:54","179","5:10","5:10","--","--"
"3","5:15,4","15:34","1,00","5:15","5:13","146","149","3","1","405","5.02","453","5.61","176","258","50,4% L / 49,6% P","1,09","8,9","7,9","79","9,0","5:02","179","5:15,4","5:15","--","--"
"4","5:19,9","20:54","1,00","5:20","5:17","147","152","12","5","410","5.08","493","6.11","174","261","50,5% L / 49,5% P","1,07","9,1","8,2","79","8,0","5:12","177","5:19,9","5:20","--","--"
"5","5:13,0","26:07","1,00","5:13","5:06","148","155","8","4","395","4.89","451","5.59","174","254","50,7% L / 49,3% P","1,10","9,3","8,2","79","8,0","5:01","177","5:13","5:13","--","--"
"6","5:11,9","31:19","1,00","5:12","5:16","145","148","0","6","359","4.45","378","4.68","174","257","50,7% L / 49,3% P","1,11","9,5","8,4","75","9,0","4:54","177","5:11,9","5:12","--","--"
"7","5:14,7","36:33","1,00","5:15","5:24","147","151","1","6","354","4.38","409","5.07","174","258","50,8% L / 49,2% P","1,09","9,4","8,4","76","10,0","4:50","179","5:14","5:14","--","--"
"8","5:09,2","41:43","1,00","5:09","5:11","147","153","1","7","365","4.52","407","5.04","174","257","50,9% L / 49,1% P","1,12","9,4","8,1","75","9,0","4:58","177","5:09","5:09","--","--"
"9","5:18,7","47:01","1,00","5:19","5:21","147","151","1","5","360","4.46","527","6.53","174","258","51,0% L / 49,0% P","1,09","9,4","8,4","77","8,0","5:09","189","5:18,7","5:19","--","--"
"10","5:17,8","52:19","1,00","5:18","5:15","151","155","4","2","389","4.82","457","5.66","173","259","50,9% L / 49,1% P","1,09","9,3","8,4","80","8,0","4:52","176","5:17,8","5:18","--","--"
"11","5:22,1","57:41","1,00","5:22","5:20","150","153","5","1","407","5.04","448","5.55","174","265","50,3% L / 49,7% P","1,07","9,2","8,4","79","8,0","4:59","177","5:22","5:22","--","--"
"12","5:24,3","1:03:05","1,00","5:24","5:29","149","152","4","5","387","4.79","442","5.47","174","266","50,4% L / 49,6% P","1,06","9,2","8,4","77","8,0","5:09","178","5:24","5:24","--","--"
"13","5:24,2","1:08:30","1,00","5:24","5:14","149","153","17","0","435","5.39","651","8.06","173","265","50,1% L / 49,9% P","1,07","9,3","8,6","80","8,0","5:06","179","5:24,2","5:24","--","--"
"14","5:19,7","1:13:49","1,00","5:20","5:19","149","153","4","1","384","4.76","435","5.39","174","262","50,2% L / 49,8% P","1,07","9,3","8,4","76","8,0","5:15","178","5:19","5:19","--","--"
"15","5:16,6","1:19:06","1,00","5:17","5:22","147","150","0","10","356","4.41","407","5.04","174","263","50,1% L / 49,9% P","1,09","9,4","8,4","71","9,0","5:03","176","5:16,6","5:17","--","--"
"16","5:18,3","1:24:24","1,00","5:18","5:25","147","152","0","7","352","4.36","384","4.76","174","266","50,1% L / 49,9% P","1,08","9,3","8,4","71","10,0","5:00","179","5:18","5:18","--","--"
"17","5:13,2","1:29:37","1,00","5:13","5:18","149","154","1","8","357","4.42","412","5.10","174","264","50,1% L / 49,9% P","1,10","9,3","8,3","73","10,0","5:04","176","5:13","5:13","--","--"
"18","5:16,3","1:34:54","1,00","5:16","5:18","150","154","2","6","366","4.53","432","5.35","174","263","50,1% L / 49,9% P","1,09","9,4","8,4","74","10,0","5:05","176","5:16,3","5:16","--","--"
"19","0:01,3","1:34:55","0,01","3:17","5:06","149","149","0","0","377","4.67","377","4.67","171","257","50,0% L / 50,0% P","1,16","10,0","8,3","0","10,0","5:14","171","0:01","2:31","--","--"
"Podsumowanie","1:34:55","1:34:55","18,01","5:16","5:18","148","159","71","89","382","4.73","651","8.06","174","260","50,5% L / 49,5% P","1,09","9,3","8,3","1.373","9,2","4:44","189","1:34:50","5:16","--","--"
