"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 3","11:45","11:45","2,50","4:42","4:41","137","143","12","7","173","238","50,2% L / 49,8% P","1,23","10,1","8,1","421","418","5.39","510","6.57","180","20,0","4:16","177","11:41","4:40"
"","","Rozgrzewka","1","4:38,9","4:38,9","1,00","4:39","4:42","133","142","3","3","173","236","50,2% L / 49,8% P","1,24","10,3","8,2","427","423","5.45","510","6.57","69","21,0","4:16","176","4:38","4:38"
"","","Rozgrzewka","2","4:39,6","9:18,5","1,00","4:40","4:38","139","143","7","4","174","238","50,1% L / 49,9% P","1,23","10,0","7,9","423","421","5.43","480","6.19","73","20,0","4:27","177","4:39","4:39"
"","","Rozgrzewka","3","2:26,4","11:45","0,50","4:52","4:45","139","142","2","0","173","240","50,4% L / 49,6% P","1,20","10,0","8,1","408","404","5.21","445","5.74","38","19,0","4:34","176","2:26","4:51"
"","1","Bieg","4","3:43,8","15:29","1,00","3:44","3:50","156","163","1","5","186","207","50,6% L / 49,4% P","1,43","9,2","6,2","449","454","5.85","524","6.76","66","18,0","3:27","191","3:43","3:43"
"","","Regeneracja","5","1:15","16:44","0,17","7:24","6:30","142","160","1","1","158","314","50,2% L / 49,8% P","0,93","9,1","9,6","355","289","3.73","509","6.56","17","18,0","3:38","188","1:13","7:13"
"","2","Bieg","6","3:45,4","20:29","1,00","3:45","3:52","156","165","1","3","185","209","50,6% L / 49,4% P","1,42","9,1","6,2","445","452","5.83","508","6.55","65","17,0","3:34","188","3:45,4","3:45"
"","","Regeneracja","7","1:15","21:44","0,16","7:40","6:55","144","164","1","2","158","317","50,2% L / 49,8% P","0,92","8,8","9,4","336","264","3.40","476","6.14","18","17,0","3:45","182","1:13","7:28"
"","3","Bieg","8","3:46,2","25:30","1,00","3:46","3:49","159","167","4","4","186","209","50,4% L / 49,6% P","1,41","8,8","6,1","487","495","6.38","564","7.27","67","17,0","3:35","190","3:46","3:46"
"","","Regeneracja","9","1:15","26:45","0,16","7:45","6:26","149","167","1","0","157","323","49,6% L / 50,4% P","1,03","8,1","7,8","370","292","3.76","535","6.90","19","17,0","3:48","186","1:13","7:33"
