"Okrążenia","Czas","Łączny czas","Dystansm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:02,6","5:02,6","1.000","5:03","--","135","141","0","0","375","4.78","416","5.31","172","252","50,4% L / 49,6% P","1,18","9,5","7,9","72","18,0","4:36","174","5:02,6","5:03","--","--"
"2","4:56,1","9:58,7","1.000","4:56","--","141","146","0","0","388","4.95","426","5.44","172","249","50,4% L / 49,6% P","1,20","9,8","7,9","73","16,0","4:41","175","4:56","4:56","--","--"
"3","4:20,6","14:19","1.000","4:21","--","154","158","0","0","431","5.50","486","6.20","178","227","50,3% L / 49,7% P","1,33","9,5","6,9","70","15,0","3:56","180","4:20","4:20","--","--"
"4","4:15,1","18:34","1.000","4:15","--","161","167","0","0","441","5.63","473","6.03","178","223","50,3% L / 49,7% P","1,37","9,4","6,6","71","13,0","3:56","181","4:15","4:15","--","--"
"5","4:15,4","22:50","1.000","4:15","--","164","167","0","0","440","5.61","476","6.07","178","223","50,6% L / 49,4% P","1,37","9,4","6,7","72","13,0","3:58","180","4:15,4","4:15","--","--"
"6","2:53,9","25:44","500","5:48","--","149","166","0","0","345","4.40","463","5.91","166","272","50,3% L / 49,7% P","1,09","9,7","8,8","40","13,0","4:12","178","2:53","5:46","--","--"
"7","4:16,1","30:00","1.000","4:16","--","160","165","0","0","434","5.54","475","6.06","180","223","50,5% L / 49,5% P","1,32","9,2","6,8","71","13,0","4:01","182","4:16,1","4:16","--","--"
"8","4:16,6","34:16","1.000","4:17","--","166","168","0","0","439","5.60","481","6.14","180","223","50,9% L / 49,1% P","1,34","9,2","6,6","73","13,0","3:51","182","4:16","4:16","--","--"
"9","4:16,9","38:33","1.000","4:17","--","167","169","0","0","431","5.50","459","5.86","181","224","50,9% L / 49,1% P","1,32","9,0","6,6","73","12,0","4:05","183","4:16,9","4:17","--","--"
"10","2:59,2","41:33","500","6:01","--","152","168","0","0","337","4.30","448","5.72","166","281","50,2% L / 49,8% P","1,06","9,4","8,6","42","12,0","4:08","180","2:58","5:56","--","--"
"11","4:18,6","45:51","1.000","4:19","--","162","167","0","0","427","5.45","497","6.34","182","225","50,4% L / 49,6% P","1,30","8,9","6,6","72","12,0","4:02","185","4:18,6","4:19","--","--"
"12","4:18,3","50:09","1.000","4:18","--","166","169","0","0","432","5.51","450","5.74","183","224","50,6% L / 49,4% P","1,30","8,8","6,5","73","12,0","4:05","186","4:18","4:18","--","--"
"13","4:18,1","54:27","1.000","4:18","--","168","171","0","0","436","5.56","460","5.87","184","224","50,7% L / 49,3% P","1,30","8,7","6,5","74","12,0","4:04","198","4:18","4:18","--","--"
"14","5:48,1","1:00:16","1.000","5:48","--","148","170","0","0","339","4.33","454","5.79","169","277","50,3% L / 49,8% P","1,05","9,2","8,6","77","12,0","4:09","182","5:48","5:48","--","--"
"15","5:35,2","1:05:51","1.000","5:35","--","144","146","0","0","349","4.45","370","4.72","170","271","50,2% L / 49,8% P","1,07","9,3","8,4","75","13,0","5:21","172","5:35,2","5:35","--","--"
"16","0:01,1","1:05:52","10","5:35","--","144","144","0","0","351","4.48","351","4.48","166","254","51,0% L / 49,0% P","1,10","10,5","9,3","0","13,0","5:21","166","0:01","1:40","--","--"
"Podsumowanie","1:05:52","1:05:52","14.010","4:42","--","155","171","0","0","402","5.13","497","6.34","176","242","50,5% L / 49,5% P","1,24","9,3","7,3","1.028","13,3","3:51","198","1:05:48","4:42","--","--"
