"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 2","9:35,7","9:35,7","1,85","5:11","5:13","132","141","4","6","175","246","51,4% L / 48,6% P","1,11","9,8","8,7","394","394","4.88","563","6.97","136","12,0","4:39","180","9:31","5:08"
"","1","Bieg","3","0:09,5","9:45,2","0,05","3:04","4:29","141","144","1","0","200","205","50,6% L / 49,4% P","1,16","7,4","7,4","416","514","6.37","666","8.25","2","11,0","3:10","212","0:09","2:55"
"","","Regeneracja","4","0:45,2","10:30","0,12","6:10","5:19","145","152","1","0","167","261","51,0% L / 49,0% P","1,07","10,1","9,3","433","368","4.56","693","8.58","11","11,0","2:52","209","0:44","6:00"
"","2","Bieg","5","0:14,0","10:44","0,07","3:21","4:29","139","145","0","2","195","204","50,5% L / 49,5% P","1,23","8,3","7,9","333","442","5.47","572","7.08","3","12,0","3:02","203","0:13","3:07"
"","","Schładzanie","6","0:23,2","11:08","0,06","5:57","5:11","150","153","0","0","167","268","50,1% L / 49,9% P","1,09","10,0","8,6","401","342","4.24","533","6.60","7","11,0","3:02","196","0:23,2","5:57"
"","Podsumowanie","--","--","11:08","11:08","2,16","5:09","5:11","134","153","7","8","175","246","51,3% L / 48,7% P","1,11","9,7","8,7","397","393","4.87","693","8.58","159","11,9","2:52","212","11:05","5:08"
