"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 5","20:26","20:26","4,00","5:07","5:12","137","145","10","58","175","244","51,4% L / 48,6% P","1,12","9,4","8,3","374","373","4.62","505","6.25","291","15,0","3:59","182","20:24","5:06"
"","1","Bieg","6","0:15","20:41","0,08","3:17","4:10","145","149","1","0","193","198","50,8% L / 49,2% P","1,17","8,2","7,5","374","477","5.91","614","7.60","4","15,0","3:15","202","0:14","3:04"
"","","Regeneracja","7","1:30","22:11","0,25","6:00","5:32","150","158","5","0","173","270","50,5% L / 49,5% P","1,01","8,9","8,6","403","373","4.62","591","7.32","22","15,0","3:14","202","1:29","5:56"
"","2","Bieg","8","0:15","22:26","0,08","3:19","4:18","145","150","0","0","195","193","50,3% L / 49,7% P","1,15","8,1","7,6","362","445","5.51","538","6.66","4","15,0","3:15","202","0:14","3:06"
"","","Regeneracja","9","1:30","23:56","0,25","6:05","5:38","147","159","4","0","171","273","49,9% L / 50,1% P","1,01","9,1","8,9","370","351","4.35","530","6.56","22","14,0","3:15","201","1:29","6:01"
"","3","Bieg","10","0:15","24:11","0,07","3:31","4:34","140","148","1","0","192","211","49,8% L / 50,2% P","1,17","8,1","7,7","378","465","5.76","587","7.27","4","14,0","3:15","202","0:14","3:17"
"","","Regeneracja","11","1:30","25:41","0,25","6:06","5:41","149","160","4","0","170","275","50,1% L / 49,9% P","1,00","9,1","9,0","394","364","4.51","586","7.26","22","14,0","3:11","202","1:29","6:02"
"","4","Bieg","12","0:15","25:56","0,07","3:24","4:06","143","149","1","0","193","201","50,5% L / 49,5% P","1,11","8,1","7,8","384","502","6.22","608","7.53","4","13,0","3:22","201","0:14","3:11"
"","","Regeneracja","13","1:30","27:26","0,25","5:59","5:30","150","159","4","0","170","269","50,6% L / 49,4% P","1,02","9,3","8,9","410","366","4.53","629","7.79","22","14,0","3:20","202","1:29","5:55"
"","5","Bieg","14","0:15","27:41","0,08","3:04","3:31","148","155","2","0","201","184","50,6% L / 49,4% P","1,48","7,5","5,8","394","536","6.64","608","7.53","4","14,0","2:57","205","0:14","2:52"
"","","Regeneracja","15","1:30","29:11","0,23","6:38","6:00","149","161","4","0","168","284","50,3% L / 49,7% P","0,99","8,9","9,1","390","349","4.32","608","7.53","21","14,0","2:57","202","1:29","6:34"
"","6","Bieg","16","0:15","29:26","0,07","3:32","4:16","140","146","0","0","192","204","50,5% L / 49,5% P","1,15","8,2","8,0","378","490","6.07","593","7.34","4","14,0","3:22","199","0:14","3:18"
"","","Regeneracja","17","1:30","30:56","0,21","7:03","5:44","150","157","12","0","169","284","50,3% L / 49,7% P","0,94","8,4","9,0","403","371","4.59","624","7.73","22","14,0","3:17","200","1:29","6:58"
"","","Schładzanie","18","0:55,9","31:52","0,13","7:21","6:23","141","144","7","0","165","296","49,8% L / 50,3% P","0,81","8,5","10,1","350","359","4.45","394","4.88","12","14,0","7:12","167","0:55,9","7:21"
"","Podsumowanie","--","--","31:52","31:52","6,01","5:18","5:17","141","161","54","57","174","252","51,0% L / 49,0% P","1,08","9,2","8,5","380","375","4.64","629","7.79","458","14,7","2:57","205","31:51","5:18"
