"","Interwał","Typ etapu","Okrążenie","Czas","Łączny czas","Dystans","Średnie tempo","Średni GAP","Średnie tętno","Maksymalne tętno","Całkowity wznios","Całkowity spadek","Średnia kadencja biegu","Średni czas kontaktu z podłożem","Średni bilans GCT","Średnia długość kroku","Średnie odchylenie pionowe","Średnie odchylenie do długości","Normalized Power® (NP®)","Średnia moc","Średnia W/kg","Maksymalna moc","Maksymalna W/kg","Suma kalorii","Średnia temperatura","Najlepsze tempo","Maksymalna kadencja biegu","Czas ruchu","Średnie tempo ruchu"
"","","Rozgrzewka","1 - 12","57:11","57:11","11,28","5:04","4:50","139","147","271","314","173","252","50,3% L / 49,7% P","1,13","9,1","8,1","386","382","4.89","513","6.57","809","16,0","3:12","187","57:07","5:04"
"","1","Bieg","13","0:15","57:26","0,07","3:23","4:10","142","147","0","0","196","200","50,4% L / 49,6% P","1,34","8,0","6,4","400","473","6.06","565","7.24","4","14,0","3:21","199","0:14","3:09"
"","","Regeneracja","14","1:30","58:56","0,25","6:05","5:35","140","151","3","0","167","278","50,2% L / 49,8% P","1,02","9,5","9,1","402","363","4.65","585","7.49","20","14,0","3:19","200","1:29","6:01"
"","2","Bieg","15","0:15","59:11","0,07","3:23","4:07","137","143","0","0","191","205","50,3% L / 49,7% P","1,18","8,7","7,9","370","504","6.46","614","7.87","4","13,0","3:17","199","0:14","3:09"
"","","Regeneracja","16","1:30","1:00:41","0,25","6:04","5:38","140","150","4","0","167","280","50,3% L / 49,7% P","1,01","9,6","9,4","405","372","4.77","614","7.87","20","13,0","3:11","197","1:29","6:00"
"","3","Bieg","17","0:15","1:00:56","0,07","3:29","4:38","138","143","1","0","192","202","50,1% L / 49,9% P","1,13","8,6","7,9","367","430","5.51","498","6.38","4","13,0","3:55","197","0:14","3:15"
"","","Regeneracja","18","1:30","1:02:26","0,24","6:10","5:43","139","151","4","0","167","280","50,3% L / 49,7% P","1,00","9,5","9,3","381","359","4.60","512","6.56","21","13,0","3:51","196","1:29","6:06"
"","4","Bieg","19","0:15","1:02:41","0,08","3:19","4:10","133","138","0","0","194","202","50,0% L / 50,0% P","1,25","8,3","7,4","361","484","6.20","589","7.55","4","13,0","3:16","199","0:14","3:06"
"","","Regeneracja","20","1:30","1:04:11","0,24","6:09","5:33","136","149","1","1","167","277","50,3% L / 49,7% P","1,11","9,8","8,9","396","352","4.51","618","7.92","21","13,0","3:14","197","1:29","6:05"
"","5","Bieg","21","0:15","1:04:26","0,07","3:23","4:10","134","141","0","0","198","201","50,4% L / 49,6% P","1,26","7,8","7,1","349","487","6.24","602","7.71","4","13,0","3:11","202","0:14","3:10"
"","","Regeneracja","22","1:30","1:05:56","0,24","6:10","5:44","139","149","3","0","167","284","49,9% L / 50,1% P","1,00","9,4","9,2","390","359","4.60","600","7.69","20","13,0","3:11","199","1:29","6:06"
"","6","Bieg","23","0:15","1:06:11","0,07","3:32","4:29","134","139","1","0","194","212","49,8% L / 50,2% P","1,26","8,0","7,0","360","451","5.78","557","7.14","4","13,0","3:26","200","0:14","3:17"
"","","Regeneracja","24","1:30","1:07:41","0,23","6:34","5:33","140","146","11","0","168","280","50,2% L / 49,8% P","0,97","9,1","9,3","403","394","5.05","579","7.42","20","13,0","3:25","199","1:29","6:29"
"","","Schładzanie","25","1:50,5","1:09:31","0,31","5:56","5:34","136","146","12","2","169","278","50,3% L / 49,7% P","0,97","9,2","9,4","391","379","4.86","433","5.55","24","13,0","5:09","172","1:50,5","5:56"
"","Podsumowanie","--","--","1:09:31","1:09:31","13,50","5:09","4:56","139","151","313","317","173","255","50,3% L / 49,7% P","1,11","9,2","8,3","387","382","4.89","618","7.92","976","15,2","3:11","202","1:09:28","5:09"
