"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","5:02,5","5:02,5","1,00","5:03","5:20","122","134","1","34","344","4.35","404","5.11","174","251","50,5% L / 49,5% P","1,14","9,5","8,3","66","20,0","4:35","180","5:02,5","5:03","--","--"
"2","5:07,9","10:10","1,00","5:08","5:17","127","134","0","18","357","4.51","407","5.14","179","254","49,4% L / 50,6% P","1,09","8,7","7,7","69","15,0","5:02","182","5:07","5:07","--","--"
"3","5:15,2","15:26","1,00","5:15","5:21","129","134","1","11","353","4.46","427","5.40","179","257","49,4% L / 50,6% P","1,07","8,6","7,8","71","13,0","5:03","181","5:15,2","5:15","--","--"
"4","5:42,9","21:09","1,00","5:43","5:35","130","134","9","0","344","4.35","407","5.14","178","264","49,4% L / 50,6% P","0,99","8,3","8,2","77","12,0","5:20","182","5:42,9","5:43","--","--"
"5","5:24,8","26:33","1,00","5:25","5:28","128","135","0","10","350","4.42","388","4.90","178","260","49,6% L / 50,4% P","1,04","8,7","8,1","71","11,0","5:05","182","5:24","5:24","--","--"
"6","5:47,3","32:21","1,00","5:47","5:40","129","135","9","0","346","4.37","415","5.25","175","269","49,7% L / 50,3% P","0,99","8,7","8,6","74","11,0","5:17","178","5:47,3","5:47","--","--"
"7","5:57,5","38:18","1,00","5:58","5:46","129","133","17","0","348","4.40","400","5.06","174","273","49,9% L / 50,1% P","0,97","8,7","8,8","75","11,0","5:38","178","5:57","5:57","--","--"
"8","6:16,1","44:34","1,00","6:16","5:54","128","135","28","2","359","4.54","509","6.43","171","277","49,9% L / 50,1% P","0,93","8,5","9,0","76","12,0","4:21","178","6:16,1","6:16","--","--"
"9","0:01,8","44:36","0,01","3:42","6:13","127","127","0","0","323","4.08","325","4.11","169","275","50,4% L / 49,6% P","0,99","9,7","9,6","0","11,0","6:02","169","0:01","2:07","--","--"
"Podsumowanie","44:36","44:36","8,01","5:34","5:33","128","135","66","74","350","4.42","509","6.43","176","264","49,7% L / 50,3% P","1,02","8,7","8,3","578","13,0","4:21","182","44:33","5:34","--","--"
