"Okrążenia","Czas","Łączny czas","Dystanskm","Średnie tempomin/km","Średni GAPmin/km","Średnie tętnobpm","Maksymalne tętnobpm","Całkowity wzniosm","Całkowity spadekm","Średnia mocW","Średnia W/kg","Maksymalna mocW","Maksymalna W/kg","Średnia kadencja bieguspm","Średni czas kontaktu z podłożemms","Średni bilans GCT%","Średnia długość krokum","Średnie odchylenie pionowecm","Średnie odchylenie do długości%","Suma kaloriiC","Średnia temperatura","Najlepsze tempomin/km","Maksymalna kadencja bieguspm","Czas ruchu","Średnie tempo ruchumin/km","Średnia utrata prędkości ruchu w trakcie kontaktu nogi z podłożemcm/s","Procent średniej utraty prędkości ruchu w trakcie kontaktu nogi z podłożem%"
"1","4:59,3","4:59,3","1,00","4:59","4:59","133","144","8","2","388","4.93","494","6.27","174","250","49,8% L / 50,2% P","1,15","9,6","8,3","71","11,0","4:50","176","4:59,3","4:59","--","--"
"2","4:54,1","9:53,4","1,00","4:54","4:52","141","148","4","6","385","4.89","491","6.23","174","251","49,6% L / 50,4% P","1,17","9,7","8,0","73","9,0","4:40","176","4:54","4:54","--","--"
"3","4:12,2","14:06","1,00","4:12","4:12","151","156","4","0","431","5.47","472","5.99","181","225","49,5% L / 50,5% P","1,31","9,2","6,8","68","7,0","4:10","183","4:12","4:12","--","--"
"4","4:12,8","18:18","1,00","4:13","4:12","157","160","3","0","427","5.42","494","6.27","182","223","49,8% L / 50,2% P","1,30","9,2","6,8","69","6,0","4:10","197","4:12,8","4:13","--","--"
"5","4:14,2","22:33","1,00","4:14","4:12","160","162","4","0","441","5.60","498","6.32","182","223","50,1% L / 49,9% P","1,30","9,1","6,8","70","5,0","4:05","184","4:14","4:14","--","--"
"6","4:15,5","26:48","1,00","4:16","4:16","160","163","2","7","456","5.79","505","6.41","182","226","50,1% L / 49,9% P","1,29","9,0","6,7","71","2,0","4:12","185","4:15,5","4:16","--","--"
"7","4:15,3","31:03","1,00","4:15","4:18","161","164","1","4","454","5.76","506","6.42","182","224","50,2% L / 49,8% P","1,30","9,0","6,7","71","1,0","4:05","184","4:15","4:15","--","--"
"8","4:21,9","35:25","1,00","4:22","4:21","161","164","5","6","451","5.73","568","7.21","181","230","50,1% L / 49,9% P","1,27","8,8","6,7","72","1,0","4:14","183","4:21,9","4:22","--","--"
"9","4:17,7","39:43","1,00","4:18","4:19","161","165","6","11","449","5.70","568","7.21","182","228","50,1% L / 49,9% P","1,28","8,9","6,7","71","0","4:10","185","4:17,7","4:18","--","--"
"10","4:19,0","44:02","1,00","4:19","4:15","162","165","7","5","433","5.50","498","6.32","183","229","50,2% L / 49,8% P","1,27","8,7","6,6","72","0","4:05","186","4:19","4:19","--","--"
"11","4:15,0","48:17","1,00","4:15","4:15","161","163","7","7","420","5.33","533","6.77","184","228","50,3% L / 49,7% P","1,27","8,6","6,6","71","1,0","3:58","188","4:15","4:15","--","--"
"12","4:16,5","52:34","1,00","4:16","4:12","163","166","3","1","454","5.76","571","7.25","185","229","50,3% L / 49,7% P","1,27","8,4","6,4","72","1,0","4:03","188","4:16","4:16","--","--"
"13","5:19,7","57:53","1,00","5:20","5:23","146","165","4","7","375","4.76","472","5.99","173","270","50,3% L / 49,7% P","1,09","8,9","8,0","73","0","4:28","185","5:19,7","5:20","--","--"
"14","5:15,0","1:03:08","1,00","5:15","5:16","140","144","4","6","364","4.62","446","5.66","174","268","50,1% L / 49,9% P","1,10","9,0","8,0","75","0","4:45","178","5:15","5:15","--","--"
"15","1:02,7","1:04:11","0,21","4:57","4:58","142","144","1","1","401","5.09","418","5.31","176","259","50,3% L / 49,7% P","1,13","9,1","7,8","15","0","4:59","177","1:02","4:53","--","--"
"Podsumowanie","1:04:11","1:04:11","14,21","4:31","4:30","153","166","63","62","421","5.35","571","7.25","179","238","50,0% L / 50,0% P","1,23","9,0","7,2","1.014","3,1","3:58","197","1:04:09","4:31","--","--"
